fips,year,state_abbr,s2_state_rank_pct,s2_mom_rank_pct,s2_score,quiet,universe_B,has_feb_price,s2_eligible,s2_rank_quiet_B,s2_quintile_quiet_B,s2_pct_quiet_B,s2_as_of
29109,2025,MO,0.6289902280130293,0.5555193747964833,0.5922548014047563,True,True,True,True,284.0,1.0,0.8547973319651103,2026-02-28
29111,2025,MO,0.6289902280130293,0.9488765874308043,0.7889334077219168,False,True,True,False,,,,2026-02-28
29113,2025,MO,0.6289902280130293,0.7411266688375122,0.6850584484252707,False,True,True,False,,,,2026-02-28
29115,2025,MO,0.6289902280130293,0.8684467600130251,0.7487184940130271,False,True,True,False,,,,2026-02-28
29117,2025,MO,0.6289902280130293,0.945620319114295,0.7873052735636621,False,True,True,False,,,,2026-02-28
29119,2025,MO,0.6289902280130293,0.5731032237056334,0.6010467258593313,True,True,True,True,266.0,1.0,0.8640328373524885,2026-02-28
29121,2025,MO,0.6289902280130293,0.7434060566590687,0.686198142336049,False,True,True,False,,,,2026-02-28
29123,2025,MO,0.6289902280130293,0.6532074242917616,0.6410988261523954,True,True,True,True,176.0,1.0,0.9102103642893792,2026-02-28
29125,2025,MO,0.6289902280130293,0.8482578964506675,0.7386240622318484,False,True,True,False,,,,2026-02-28
29127,2025,MO,0.6289902280130293,0.9374796483230218,0.7832349381680255,False,True,True,False,,,,2026-02-28
29129,2025,MO,0.6289902280130293,0.8362097036795832,0.7325999658463063,False,True,True,False,,,,2026-02-28
29131,2025,MO,0.6289902280130293,0.8316509280364702,0.7303205780247497,False,True,True,False,,,,2026-02-28
29133,2025,MO,0.6289902280130293,0.16444154998371865,0.39671588899837396,True,True,True,True,892.0,3.0,0.5428424833247819,2026-02-28
29135,2025,MO,0.6289902280130293,0.7912732009117551,0.7101317144623922,False,True,True,False,,,,2026-02-28
29137,2025,MO,0.6289902280130293,0.954737870400521,0.7918640492067752,False,True,True,False,,,,2026-02-28
29139,2025,MO,0.6289902280130293,0.30478671442526867,0.466888471219149,True,True,True,True,652.0,2.0,0.6659825551564905,2026-02-28
29141,2025,MO,0.6289902280130293,0.11494627157277759,0.37196824979290344,True,True,True,True,973.0,3.0,0.5012827090815803,2026-02-28
29143,2025,MO,0.6289902280130293,0.217193096711169,0.42309166236209916,True,True,True,True,812.0,3.0,0.5838891739353514,2026-02-28
29145,2025,MO,0.6289902280130293,0.7163790296320417,0.6726846288225354,False,True,True,False,,,,2026-02-28
29147,2025,MO,0.6289902280130293,0.47443829371540214,0.5517142608642157,True,True,True,True,390.0,1.0,0.8004104669061057,2026-02-28
29149,2025,MO,0.6289902280130293,0.2982741777922501,0.4636322029026397,True,True,True,True,666.0,2.0,0.6587993842996408,2026-02-28
29151,2025,MO,0.6289902280130293,0.7486160859654836,0.6888031569892564,False,True,True,False,,,,2026-02-28
29153,2025,MO,0.6289902280130293,0.7251709540866167,0.677080591049823,False,True,True,False,,,,2026-02-28
29155,2025,MO,0.6289902280130293,0.05665906870726148,0.34282464836014537,True,True,True,True,1065.0,3.0,0.45407901487942537,2026-02-28
29157,2025,MO,0.6289902280130293,0.8274177792250081,0.7282040036190187,False,True,True,False,,,,2026-02-28
29159,2025,MO,0.6289902280130293,0.9023119505047216,0.7656510892588755,False,True,True,False,,,,2026-02-28
29161,2025,MO,0.6289902280130293,0.7544773689352002,0.6917337984741148,False,True,True,False,,,,2026-02-28
29163,2025,MO,0.6289902280130293,0.7876913057635949,0.7083407668883122,False,True,True,False,,,,2026-02-28
29165,2025,MO,0.6289902280130293,0.524584825789645,0.5767875269013372,True,True,True,True,321.0,1.0,0.8358132375577219,2026-02-28
29167,2025,MO,0.6289902280130293,0.5988277434060567,0.613908985709543,True,True,True,True,236.0,1.0,0.879425346331452,2026-02-28
29169,2025,MO,0.6289902280130293,0.8997069358515142,0.7643485819322717,False,True,True,False,,,,2026-02-28
29171,2025,MO,0.6289902280130293,0.7121458808205796,0.6705680544168044,False,True,True,False,,,,2026-02-28
29173,2025,MO,0.6289902280130293,0.9104526212959948,0.7697214246545121,False,True,True,False,,,,2026-02-28
29175,2025,MO,0.6289902280130293,0.9062194724845327,0.767604850248781,False,True,True,False,,,,2026-02-28
29177,2025,MO,0.6289902280130293,0.8726799088244871,0.7508350684187581,False,True,True,False,,,,2026-02-28
29179,2025,MO,0.6289902280130293,0.18365353305112342,0.40632188053207635,True,True,True,True,871.0,3.0,0.5536172396100565,2026-02-28
29181,2025,MO,0.6289902280130293,0.085965483555845,0.35747785578443714,True,True,True,True,1012.0,3.0,0.48127244740892766,2026-02-28
29183,2025,MO,0.6289902280130293,0.5691957017258222,0.5990929648694258,True,True,True,True,273.0,1.0,0.8604412519240636,2026-02-28
29185,2025,MO,0.6289902280130293,0.7697818300227939,0.6993860290179116,False,True,True,False,,,,2026-02-28
29186,2025,MO,0.6289902280130293,0.9465971996092478,0.7877937138111386,False,True,True,False,,,,2026-02-28
