fips,county_name,year,sec_point_in_time_hq_company_count,sec_point_in_time_hq_filing_count,sec_point_in_time_hq_companies,sec_point_in_time_hq_tickers,sec_point_in_time_hq_ciks,sec_point_in_time_hq_source_queue_rows,sec_point_in_time_hq_mean_geocode_confidence,candidate_status,production_change_allowed
48329,Midland County,2017,1,1,"Diamondback Energy, Inc.",FANG,0001539838,sec_pit_0134,1.0,report_only_candidate_pending_source_maturity_gate,False
51760,Richmond city,2017,1,1,"DOMINION ENERGY, INC",D,0000715957,sec_pit_0319,1.0,report_only_candidate_pending_source_maturity_gate,False
53033,King County,2017,1,1,"ALASKA AIR GROUP, INC.",ALK,0000766421,sec_pit_0011,0.95,report_only_candidate_pending_source_maturity_gate,False
01069,Houston County,2018,1,2,"Construction Partners, Inc.",ROAD,0001718227,sec_pit_0306; sec_pit_0109,1.0,report_only_candidate_pending_source_maturity_gate,False
06085,"Santa Clara County, California",2018,2,2,"Tesla, Inc.; Bloom Energy Corp",TSLA; BE,0001318605; 0001664703,sec_pit_0409; sec_pit_0257,0.92,report_only_candidate_pending_source_maturity_gate,False
12086,"Miami-Dade County, Florida",2018,1,1,Blue Star Foods Corp.,BSFC,0001730773,sec_pit_0060,0.92,report_only_candidate_pending_source_maturity_gate,False
12099,Palm Beach County,2018,1,1,Blue Star Foods Corp.,BSFC,0001730773,sec_pit_0259,0.95,report_only_candidate_pending_source_maturity_gate,False
26163,Wayne County,2018,1,1,DTE ENERGY CO,DTE,0000936340,sec_pit_0128,0.98,report_only_candidate_pending_source_maturity_gate,False
34013,Essex County,2018,1,2,AUTOMATIC DATA PROCESSING INC,ADP,0000008670,sec_pit_0224; sec_pit_0023,1.0,report_only_candidate_pending_source_maturity_gate,False
47157,Shelby County,2018,1,1,AUTOZONE INC,AZO,0000866787,sec_pit_0026,1.0,report_only_candidate_pending_source_maturity_gate,False
51760,Richmond city,2018,1,1,"DOMINION ENERGY, INC",D,0000715957,sec_pit_0124,1.0,report_only_candidate_pending_source_maturity_gate,False
06085,Santa Clara County,2019,1,1,Bloom Energy Corp,BE,0001664703,sec_pit_0058,1.0,report_only_candidate_pending_source_maturity_gate,False
06085,"Santa Clara County, California",2019,1,1,"Tesla, Inc.",TSLA,0001318605,sec_pit_0200,0.92,report_only_candidate_pending_source_maturity_gate,False
12086,"Miami-Dade County, Florida",2019,1,1,Blue Star Foods Corp.,BSFC,0001730773,sec_pit_0061,0.92,report_only_candidate_pending_source_maturity_gate,False
37119,Mecklenburg County,2019,1,1,Duke Energy CORP,DUK,0001326160,sec_pit_0140,1.0,report_only_candidate_pending_source_maturity_gate,False
48201,"Harris County, Texas",2019,1,1,Epsilon Energy Ltd.,EPSN,0001726126,sec_pit_0163,0.86,report_only_candidate_pending_source_maturity_gate,False
06085,Santa Clara County,2020,1,1,NVIDIA CORP,NVDA,0001045810,sec_pit_0403,1.0,report_only_candidate_pending_source_maturity_gate,False
06085,"Santa Clara County, California",2020,1,1,"Tesla, Inc.",TSLA,0001318605,sec_pit_0201,0.92,report_only_candidate_pending_source_maturity_gate,False
36061,"New York County, New York",2020,1,1,"Eos Energy Enterprises, Inc.",EOSE,0001805077,sec_pit_0362,0.92,report_only_candidate_pending_source_maturity_gate,False
53033,King County,2020,1,1,AMAZON COM INC,AMZN,0001018724,sec_pit_0218,1.0,report_only_candidate_pending_source_maturity_gate,False
06037,Los Angeles County,2021,1,1,"Consensus Cloud Solutions, Inc.",CCSI,0001866633,sec_pit_0302,1.0,report_only_candidate_pending_source_maturity_gate,False
06085,Santa Clara County,2021,1,1,NVIDIA CORP,NVDA,0001045810,sec_pit_0194,1.0,report_only_candidate_pending_source_maturity_gate,False
18097,"Marion County, Indiana",2021,1,1,"Energy Vault Holdings, Inc.",NRGV,0001828536,sec_pit_0156,0.92,report_only_candidate_pending_source_maturity_gate,False
34023,Middlesex County,2021,1,1,"Eos Energy Enterprises, Inc.",EOSE,0001805077,sec_pit_0161,1.0,report_only_candidate_pending_source_maturity_gate,False
36061,"New York County, New York",2021,2,2,"Dragonfly Energy Holdings Corp.; GCT Semiconductor Holding, Inc.",DFLI; GCTS,0001847986; 0001851961,sec_pit_0333; sec_pit_0395,0.9,report_only_candidate_pending_source_maturity_gate,False
51013,Arlington County,2021,1,1,"Fluence Energy, Inc.",FLNC,0001868941,sec_pit_0180,1.0,report_only_candidate_pending_source_maturity_gate,False
53033,King County,2021,1,1,AMAZON COM INC,AMZN,0001018724,sec_pit_0017,1.0,report_only_candidate_pending_source_maturity_gate,False
06037,Los Angeles County,2022,1,1,"Consensus Cloud Solutions, Inc.",CCSI,0001866633,sec_pit_0105,1.0,report_only_candidate_pending_source_maturity_gate,False
24510,Baltimore city,2022,1,1,Constellation Energy Corp,CEG,0001868275,sec_pit_0107,0.95,report_only_candidate_pending_source_maturity_gate,False
32003,"Clark County, Nevada",2022,1,1,Barrel Energy Inc.,BRLL,0001631463,sec_pit_0051,0.92,report_only_candidate_pending_source_maturity_gate,False
36061,"New York County, New York",2022,1,1,"GCT Semiconductor Holding, Inc.",GCTS,0001851961,sec_pit_0186,0.92,report_only_candidate_pending_source_maturity_gate,False
40143,Tulsa County,2022,1,1,"Circle Energy, Inc./NV",CRCE,0001911467,sec_pit_0290,1.0,report_only_candidate_pending_source_maturity_gate,False
48201,Harris County,2022,1,1,Crescent Energy Co,CRGY,0001866175,sec_pit_0111,1.0,report_only_candidate_pending_source_maturity_gate,False
48339,Montgomery County,2022,1,1,"Excelerate Energy, Inc.",EE,0001888447,sec_pit_0368,1.0,report_only_candidate_pending_source_maturity_gate,False
37119,"Mecklenburg County, North Carolina",2023,1,1,CHEETAH NET SUPPLY CHAIN SERVICE INC.,CTNT,0001951667,sec_pit_0269,0.92,report_only_candidate_pending_source_maturity_gate,False
40143,Tulsa County,2023,1,1,"Circle Energy, Inc./NV",CRCE,0001911467,sec_pit_0097,1.0,report_only_candidate_pending_source_maturity_gate,False
41017,Deschutes County,2023,1,1,BranchOut Food Inc.,BOF,0001962481,sec_pit_0260,1.0,report_only_candidate_pending_source_maturity_gate,False
48339,Montgomery County,2023,1,1,"Excelerate Energy, Inc.",EE,0001888447,sec_pit_0167,1.0,report_only_candidate_pending_source_maturity_gate,False
48453,Travis County,2023,1,1,Atlas Energy Solutions Inc.,AESI,0001984060,sec_pit_0233,1.0,report_only_candidate_pending_source_maturity_gate,False
01117,Shelby County,2024,1,1,Diversified Energy Co,DEC,0001922446,sec_pit_0136,1.0,report_only_candidate_pending_source_maturity_gate,False
36047,"Kings County, New York",2024,1,1,DT Cloud Star Acquisition Corp,DTSQ,0002017950,sec_pit_0321,0.92,report_only_candidate_pending_source_maturity_gate,False
37119,"Mecklenburg County, North Carolina",2024,1,1,CHEETAH NET SUPPLY CHAIN SERVICE INC.,CTNT,0001951667,sec_pit_0074,0.92,report_only_candidate_pending_source_maturity_gate,False
38015,Burleigh County,2024,1,1,"Everus Construction Group, Inc.",ECG,0002015845,sec_pit_0366,1.0,report_only_candidate_pending_source_maturity_gate,False
41017,Deschutes County,2024,1,1,BranchOut Food Inc.,BOF,0001962481,sec_pit_0063,1.0,report_only_candidate_pending_source_maturity_gate,False
48201,Harris County,2024,1,1,CO2 Energy Transition Corp.,NOEM,0001956648,sec_pit_0273,1.0,report_only_candidate_pending_source_maturity_gate,False
48453,Travis County,2024,1,1,Atlas Energy Solutions Inc.,AESI,0001984060,sec_pit_0034,1.0,report_only_candidate_pending_source_maturity_gate,False
01069,Houston County,2025,1,1,"Construction Partners, Inc.",ROAD,0001718227,sec_pit_0110,1.0,report_only_candidate_pending_source_maturity_gate,False
05143,"Washington County, Arkansas",2025,1,1,"TYSON FOODS, INC.",TSN,0000100493,sec_pit_0199,0.92,report_only_candidate_pending_source_maturity_gate,False
06037,Los Angeles County,2025,1,1,"Capstone Energy Plus, Inc.",CGEH,0001009759,sec_pit_0087,1.0,report_only_candidate_pending_source_maturity_gate,False
06059,Orange County,2025,1,2,"Clean Energy Technologies, Inc.",CETY,0001329606,sec_pit_0102; sec_pit_0295,1.0,report_only_candidate_pending_source_maturity_gate,False
06085,Santa Clara County,2025,2,2,Apple Inc.; ALPHA & OMEGA SEMICONDUCTOR Ltd,AAPL; AOSL,0000320193; 0001387467,sec_pit_0033; sec_pit_0016,0.99,report_only_candidate_pending_source_maturity_gate,False
09190,Western Connecticut Planning Region,2025,1,1,FUELCELL ENERGY INC,FCEL,0000886128,sec_pit_0179,1.0,report_only_candidate_pending_source_maturity_gate,False
16001,Ada County,2025,1,1,MICRON TECHNOLOGY INC,MU,0000723125,sec_pit_0193,1.0,report_only_candidate_pending_source_maturity_gate,False
28089,Madison County,2025,1,1,CAL-MAINE FOODS INC,CALM,0000016160,sec_pit_0066,1.0,report_only_candidate_pending_source_maturity_gate,False
34013,Essex County,2025,1,1,AUTOMATIC DATA PROCESSING INC,ADP,0000008670,sec_pit_0024,1.0,report_only_candidate_pending_source_maturity_gate,False
36047,"Kings County, New York",2025,1,1,DT Cloud Star Acquisition Corp,DTSQ,0002017950,sec_pit_0126,0.92,report_only_candidate_pending_source_maturity_gate,False
36059,Nassau County,2025,1,1,"Beyond Air, Inc.",XAIR,0001641631,sec_pit_0053,1.0,report_only_candidate_pending_source_maturity_gate,False
