source_lane,review_issue,review_priority,fips,state_abbr,county_name,source_id,source_name,source_year,detail,recommended_action
CMS/HCRIS,missing_net_patient_revenue,medium,02020,AK,"Anchorage Municipality, Alaska",020026,ALASKA NATIVE MEDICAL CENTER,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,04005,AZ,"Coconino County, Arizona",030073,TUBA CITY REG HEALTH CARE CORP,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,35031,NM,"McKinley County, New Mexico",320061,GALLUP INDIAN MEDICAL CENTER,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,42101,PA,"Philadelphia County, Pennsylvania",393309,SHRINERS HOSPITAL FOR CHILDREN - PHI,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,48167,TX,"Galveston County, Texas",453311,SHRINERS HOSPITAL FOR CHILDREN,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,48181,TX,"Grayson County, Texas",454153,CARRUS BEHAVIORAL HOSPITAL  LLC,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,04019,AZ,"Pima County, Arizona",030074,SELLS HOSPITAL,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,47013,TN,"Campbell County, Tennessee",441324,JELLICO REGIONAL HOSPITAL,2024,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,48439,TX,"Tarrant County, Texas",450672,MEDICAL CITY FORT WORTH,2024,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,17031,IL,"Cook County, Illinois",144043,MONTROSE BEHAVIORAL HEALTH HOSPITAL,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,35045,NM,"San Juan County, New Mexico",320059,NORTHERN NAVAJO MEDICAL CENTER,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,13129,GA,"Gordon County, Georgia",110023,ADVENTHEALTH GORDON,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,22029,LA,"Concordia Parish, Louisiana",194119,FERRIDAY BEHAVIORAL HEALTH SYSTEM LL,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,40123,OK,"Pontotoc County, Oklahoma",370180,CHICKASAW NATION MEDICAL CENTER,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,36119,NY,"Westchester County, New York",333301,BLYTHDALE CHILDRENS HOSPITAL,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,39049,OH,"Franklin County, Ohio",361991,GLENMONT,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,27007,MN,"Beltrami County, Minnesota",240206,RED LAKE INDIAN HOSPITAL,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
