batch_id,census_input_address,census_match_status,census_match_type,census_matched_address,census_coordinates,census_lon,census_lat,census_tigerline_id,census_tigerline_side,census_state_fips,census_county_fips,candidate_fips,census_tract,census_block,census_raw_field_count
310005__2023__192,"2100 WESCOTT DRIVE, FLEMINGTON, NJ, 08822",Match,Exact,"2100 WESCOTT DR, FLEMINGTON, NJ, 08822","-74.858511142951,40.531155292896",-74.858511142951,40.531155292896,60032909,R,34,019,34019,011301,2013,12
394056__2024__399,"201 WELLNESS WAY, READING, PA, 19605",No_Match,,,,,,,,,,,,,3
171353__2024__320,"1150 STATE ST, PHILLIPSBURG, KS, 67661",Match,Exact,"1150 STATE ST, PHILLIPSBURG, KS, 67661","-99.313454712465,39.755800722093",-99.313454712465,39.755800722093,635424318,R,20,147,20147,475300,3002,12
140008__2024__211,"8700 WEST NORTH AVENUE, MELROSE PARK, IL, 60160",No_Match,,,,,,,,,,,,,3
450788__2024__017,"7101 SOUTH PADRE ISLAND DRIVE, CORPUS CHRISTI, TX, 78412",No_Match,,,,,,,,,,,,,3
464001__2024__022,"1300 E. CENTER STREET, PROVO, UT, 84606",Match,Exact,"1300 E CENTER ST, PROVO, UT, 84606","-111.635761034488,40.233723979588",-111.635761034488,40.233723979588,134292331,L,49,049,49049,980400,1006,12
011302__2023__314,"211 HOSPITAL ROAD, RED BAY, AL, 35582",Match,Exact,"211 HOSPITAL RD, RED BAY, AL, 35582","-88.145699855026,34.457493544151",-88.145699855026,34.457493544151,41264399,R,01,059,01059,973400,3011,12
390067__2024__016,"409 S. 2ND STREET, HARRISBURG, PA, 17101",Match,Exact,"409 S 2ND ST, HARRISBURG, PA, 17101","-76.875844981098,40.256594233372",-76.875844981098,40.256594233372,636146155,L,42,043,42043,020100,2035,12
210027__2024__196,"12500 WILLOWBROOK ROAD, CUMBERLAND, MD, 21502",Match,Exact,"12500 WILLOWBROOK RD, CUMBERLAND, MD, 21502","-78.732275384374,39.649592199089",-78.732275384374,39.649592199089,639094283,R,24,001,24001,000500,2025,12
050471__2023__029,"1225 WILSHIRE BOULEVARD, LOS ANGELES, CA, 90017",Match,Exact,"1225 WILSHIRE BLVD, LOS ANGELES, CA, 90017","-118.265290763362,34.053254009127",-118.265290763362,34.053254009127,141616706,R,06,037,06037,209106,1000,12
390336__2024__229,"2200 GOOD HOPE ROAD, ENOLA, PA, 17025",Match,Non_Exact,"2200 N GOOD HOPE RD, ENOLA, PA, 17025","-76.986581658099,40.291826051762",-76.986581658099,40.291826051762,634161528,L,42,041,42041,011301,2000,12
110236__2024__295,"101 GROSS CRESCENT CIRCLE, FT OGLETHORPE, GA, 30742",No_Match,,,,,,,,,,,,,3
110111__2023__316,"2460 WASHINGTON RD NE, THOMSON, GA, 30824",Match,Non_Exact,"2460 WASHINGTON RD, THOMSON, GA, 30824","-82.504614898163,33.523983493651",-82.504614898163,33.523983493651,43140624,R,13,189,13189,950100,1024,12
521300__2024__356,"201 HOSPITAL ROAD, EAGLE RIVER, WI, 54521",Match,Non_Exact,"201 E HOSPITAL RD, EAGLE RIVER, WI, 54521","-89.252477021764,45.927542536298",-89.252477021764,45.927542536298,165560134,L,55,125,55125,950501,1044,12
514011__2023__382,"3 HOSPITAL PLAZA, CLARKSBURG, WV, 26301",No_Match,,,,,,,,,,,,,3
154060__2023__099,"1909 CAREW STREET, FORT WAYNE, IN, 46805",Match,Exact,"1909 CAREW ST, FORT WAYNE, IN, 46805","-85.108046916732,41.093236933301",-85.108046916732,41.093236933301,638708246,L,18,003,18003,003500,3010,12
103052__2023__084,"11595 BURNT MILL ROAD, JACKSONVILLE, FL, 32256",No_Match,,,,,,,,,,,,,3
050769__2023__244,"16250 SAND CANYON AVENUE, IRVINE, CA, 92618",Match,Exact,"16250 SAND CANYON AVE, IRVINE, CA, 92618","-117.773467856552,33.662090278018",-117.773467856552,33.662090278018,612206695,L,06,059,06059,052518,1025,12
194118__2023__366,"2810 US HIGHWAY 71 S, LECOMPTE, LA, 71346",Match,Non_Exact,"2810 US HWY 71, LECOMPTE, LA, 71346","-92.398789275557,31.096839367518",-92.398789275557,31.096839367518,653312246,R,22,079,22079,013300,2024,12
054083__2024__113,"4211 SOUTH AVALON BLVD, LOS ANGELES, CA, 90011",Match,Non_Exact,"4211 AVALON BLVD, LOS ANGELES, CA, 90011","-118.265308430085,34.007188494285",-118.265308430085,34.007188494285,141619898,R,06,037,06037,228320,2003,12
190176__2023__164,"4200 HOUMA, METAIRIE, LA, 70006",Match,Non_Exact,"4200 HOUMA BLVD, METAIRIE, LA, 70006","-90.181578344567,30.014402254824",-90.181578344567,30.014402254824,651778029,L,22,051,22051,030100,2011,12
310016__2023__041,"176 PALISADES AVENUE, JERSEY CITY, NJ, 07306",Match,Non_Exact,"176 PALISADE AVE, JERSEY CITY, NJ, 07306","-74.050671938577,40.733983217608",-74.050671938577,40.733983217608,59605243,R,34,017,34017,001400,1006,12
294011__2023__055,"7000 WEST SPRING MOUNTAIN ROAD, LAS VEGAS, NV, 89117",Match,Non_Exact,"7000 SPRING MOUNTAIN RD, LAS VEGAS, NV, 89117","-115.245306588188,36.125755024725",-115.245306588188,36.125755024725,201861917,R,32,003,32003,002919,1001,12
021304__2024__430,"103 FRAM STREET, PETERSBURG, AK, 99833",Match,Exact,"103 FRAM ST, PETERSBURG, AK, 99833","-132.955959175345,56.812516848868",-132.955959175345,56.812516848868,191278489,R,02,195,02195,000200,2008,12
110111__2024__317,"2460 WASHINGTON RD NE, THOMSON, GA, 30824",Match,Non_Exact,"2460 WASHINGTON RD, THOMSON, GA, 30824","-82.504614898163,33.523983493651",-82.504614898163,33.523983493651,43140624,R,13,189,13189,950100,1024,12
524043__2024__095,"1706 S. 68TH STREET, MILWAUKEE, WI, 53214",Match,Exact,"1706 S 68TH ST, MILWAUKEE, WI, 53214","-87.997821976689,43.012103030285",-87.997821976689,43.012103030285,77733616,L,55,079,55079,100200,3005,12
190204__2023__044,"100 MEDICAL CENTER DRIVE, SLIDELL, LA, 70461",No_Match,,,,,,,,,,,,,3
231325__2024__301,"515 QUATER STREET, GLADWIN, MI, 48624",Match,Non_Exact,"515 QUARTER ST, GLADWIN, MI, 48624","-84.49533336183,43.976592050772",-84.49533336183,43.976592050772,110422683,R,26,051,26051,000700,4005,12
061313__2023__341,"286 16TH STREET, BURLINGTON, CO, 80807",Match,Exact,"286 16TH ST, BURLINGTON, CO, 80807","-102.270603486417,39.303242987392",-102.270603486417,39.303242987392,132236623,R,08,063,08063,962100,2089,12
500036__2023__175,"2811 TIETON DRIVE, YAKIMA, WA, 98902",Match,Non_Exact,"2811 W TIETON DR, YAKIMA, WA, 98902","-120.546272652403,46.592758084928",-120.546272652403,46.592758084928,184934328,R,53,077,53077,000800,3013,12
210028__2024__216,"25500 POINT LOOKOUT RD, LEONARDTOWN, MD, 20650",Match,Exact,"25500 POINT LOOKOUT RD, LEONARDTOWN, MD, 20650","-76.636313687925,38.297562901603",-76.636313687925,38.297562901603,640545978,R,24,037,24037,875502,1051,12
