external_manual_rank,provider_year_key,cms_provider_number,fiscal_year,provider_name,street_address,city,state_abbr,zip5,geocoder_query,external_manual_lane,review_priority,review_issue,provider_volume_score,reviewer_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_geocode_source,manual_geocode_match_type,manual_review_note,reviewed_by,reviewed_at
25,213300__2024,213300,2024,MT WASHINGTON PEDIATRICS,1708 WEST ROGERS AVENUE,BALTIMORE,MD,21209,"1708 WEST ROGERS AVENUE, BALTIMORE, MD, 21209",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.0,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
26,400016__2023,400016,2023,AUXILIO MUTUO HOSPITAL,PONCE DE LEON,SAN JUAN,PR,00919,"PONCE DE LEON, SAN JUAN, PR, 00919",same_city_unresolved_after_census_external_geocoder,medium,cms_county_blank,1.0,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
27,400044__2023,400044,2023,SAN LUCAS PONCE,917 AVE TITO CASTRO,PONCE,PR,00733,"917 AVE TITO CASTRO, PONCE, PR, 00733",same_city_unresolved_after_census_external_geocoder,medium,cms_county_blank,0.9054,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
28,400061__2024,400061,2024,UNIVERSITY DISCTRICT HOSPITAL,BO. MONACILLO,SAN JUAN,PR,00922,"BO. MONACILLO, SAN JUAN, PR, 00922",same_city_unresolved_after_census_external_geocoder,medium,county_text_unmatched,0.5497,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
29,400127__2024,400127,2024,ADMIN DE SERVICIOS MEDICOS DE PR,CENTRO MEDICO,SAN JUAN,PR,00922,"CENTRO MEDICO, SAN JUAN, PR, 00922",same_city_unresolved_after_census_external_geocoder,medium,cms_county_blank,0.4227,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
30,400015__2024,400015,2024,SAN JUAN MUNICIPAL HOSPITAL,RIO PIEDRAS STATION,SAN JUAN,PR,00928,"RIO PIEDRAS STATION, SAN JUAN, PR, 00928",same_city_unresolved_after_census_external_geocoder,medium,cms_county_blank,0.3907,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
31,400098__2023,400098,2023,HOSPITAL SAN FRANCISCO,DE DIEGO AVE. #371,RIO PIEDRAS,PR,00923,"DE DIEGO AVE. #371, RIO PIEDRAS, PR, 00923",same_city_unresolved_after_census_external_geocoder,medium,county_text_unmatched,0.3746,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
32,400106__2023,400106,2023,HOSPITAL METROPOLITANO,21 #1785,RIO PIEDRAS,PR,00922,"21 #1785, RIO PIEDRAS, PR, 00922",same_city_unresolved_after_census_external_geocoder,medium,cms_county_blank,0.3557,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
33,400022__2023,400022,2023,HOSPITAL DAMAS,2213 PONCE BY PASS,PONCE,PR,00717,"2213 PONCE BY PASS, PONCE, PR, 00717",same_city_unresolved_after_census_external_geocoder,medium,cms_county_blank,0.3449,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
34,224045__2023,224045,2023,HOSPITAL FOR BEHAVIORAL MEDICINE,100 CENTURY DR,WORCESTER,MA,01606,"100 CENTURY DR, WORCESTER, MA, 01606",same_city_unresolved_after_census_external_geocoder,medium,county_text_unmatched,0.3234,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
35,400006__2023,400006,2023,DOCTORS CENTER HOSPITAL SAN JUAN I,1395 SAN RAFAEL ST. PDA. 20,SAN JUAN,PR,00910,"1395 SAN RAFAEL ST. PDA. 20, SAN JUAN, PR, 00910",same_city_unresolved_after_census_external_geocoder,medium,cms_county_blank,0.2964,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
36,450874__2023,450874,2023,BAYLOR SURGICAL HOSPITAL LAS COLINAS,400 W I-635 SUITE 101,IRVING,TX,75063,"400 W I-635 SUITE 101, IRVING, TX, 75063",same_city_unresolved_after_census_external_geocoder,medium,county_text_unmatched,0.144,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
37,403301__2024,403301,2024,UNIVERSITY PEDIATRIC HOSPITAL,PO BOX 191079,SAN JUAN,PR,00910,"PO BOX 191079, SAN JUAN, PR, 00910",same_city_unresolved_after_census_external_geocoder,medium,cms_county_blank,0.0,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
38,050224__2023,050224,2023,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92658,"ONE HOAG DRIVE, NEWPORT BEACH, CA, 92658",external_geocoder_required_no_local_candidate,high,cms_county_blank,1.0,hold,06059,"Orange County, California",0.84,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
