spotcheck_priority,spotcheck_reason,recommended_action,queue_row_id,entity_name,primary_ticker,filing_date,form_type,filing_accession,business_street,business_city,business_state,business_zip,current_snapshot_business_street,current_snapshot_business_city,current_snapshot_business_state,current_snapshot_business_zip,current_snapshot_fips,current_snapshot_county_name,filing_document_cache_path,fips,county_name,geocode_confidence,address_key
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0355,Energy Transition Special Opportunities,ETSS,2026-05-19,8-K,0001213900-26-059124,"71 Orchard Pl , Unit 1",Greenwich,CT,06830,"71 ORCHARD PL, UNIT 1",GREENWICH,CT,06830,09190,Western Connecticut Planning Region,data/raw/sec_edgar_hq/filing_documents/CIK0002085932/000121390026059124/ea0291384-8k_energy.htm,09190,Western Connecticut Planning Region,1.0,"71 ORCHARD PL , UNIT 1|GREENWICH|CT|06830"
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0356,Energy Transition Special Opportunities,ETSS,2026-05-22,8-K,0001213900-26-060623,"71 Orchard Pl , Unit 1",Greenwich,CT,06830,"71 ORCHARD PL, UNIT 1",GREENWICH,CT,06830,09190,Western Connecticut Planning Region,data/raw/sec_edgar_hq/filing_documents/CIK0002085932/000121390026060623/ea0291879-8k_energy.htm,09190,Western Connecticut Planning Region,1.0,"71 ORCHARD PL , UNIT 1|GREENWICH|CT|06830"
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0160,"Enphase Energy, Inc.",ENPH,2026-02-17,10-K,0001463101-26-000013,47281 Bayside Parkway,Fremont,CA,94538,47281 BAYSIDE PARKWAY,FREMONT,CA,94538,06001,Alameda County,data/raw/sec_edgar_hq/filing_documents/CIK0001463101/000146310126000013/enph-20251231.htm,06001,Alameda County,1.0,47281 BAYSIDE PARKWAY|FREMONT|CA|94538
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0361,"Enphase Energy, Inc.",ENPH,2026-04-28,10-Q,0001463101-26-000047,47281 Bayside Parkway,Fremont,CA,94538,47281 BAYSIDE PARKWAY,FREMONT,CA,94538,06001,Alameda County,data/raw/sec_edgar_hq/filing_documents/CIK0001463101/000146310126000047/enph-20260331.htm,06001,Alameda County,1.0,47281 BAYSIDE PARKWAY|FREMONT|CA|94538
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0161,"Eos Energy Enterprises, Inc.",EOSE,2021-02-26,10-K,0001628280-21-003349,3920 Park Avenue,Edison,NJ,08820,3920 PARK AVENUE,EDISON,NJ,08820,34023,Middlesex County,data/raw/sec_edgar_hq/filing_documents/CIK0001805077/000162828021003349/eose-20201231.htm,34023,Middlesex County,1.0,3920 PARK AVENUE|EDISON|NJ|08820
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0162,"Eos Energy Enterprises, Inc.",EOSE,2026-02-26,10-K,0001628280-26-011961,3920 Park Avenue,Edison,NJ,08820,3920 PARK AVENUE,EDISON,NJ,08820,34023,Middlesex County,data/raw/sec_edgar_hq/filing_documents/CIK0001805077/000162828026011961/eose-20251231.htm,34023,Middlesex County,1.0,3920 PARK AVENUE|EDISON|NJ|08820
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0164,Epsilon Energy Ltd.,EPSN,2026-03-27,10-K,0001104659-26-035794,"500 Dallas Street , Suite 1250",Houston,TX,77002,500 DALLAS STREET SUITE 1250,HOUSTON,TX,77002,48201,Harris County,data/raw/sec_edgar_hq/filing_documents/CIK0001726126/000110465926035794/epsn-20251231x10k.htm,48201,Harris County,1.0,"500 DALLAS STREET , SUITE 1250|HOUSTON|TX|77002"
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0364,Epsilon Energy Ltd.,EPSN,2026-05-13,10-Q,0001104659-26-060245,"500 Dallas Street , Suite 1250",Houston,TX,77002,500 DALLAS STREET SUITE 1250,HOUSTON,TX,77002,48201,Harris County,data/raw/sec_edgar_hq/filing_documents/CIK0001726126/000110465926060245/epsn-20260331x10q.htm,48201,Harris County,1.0,"500 DALLAS STREET , SUITE 1250|HOUSTON|TX|77002"
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0365,Epsilon Energy Ltd.,EPSN,2026-05-20,8-K,0001104659-26-064438,"500 Dallas St. , Suite 1250",Houston,TX,77002,500 DALLAS STREET SUITE 1250,HOUSTON,TX,77002,48201,Harris County,data/raw/sec_edgar_hq/filing_documents/CIK0001726126/000110465926064438/epsn-20260520x8k.htm,48201,Harris County,1.0,"500 DALLAS ST. , SUITE 1250|HOUSTON|TX|77002"
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0368,"Excelerate Energy, Inc.",EE,2022-05-26,10-Q,0000950170-22-010683,"2445 Technology Forest Blvd ., Level 6",The Woodlands,TX,77381,2445 TECHNOLOGY FOREST BLVD. LEVEL 6,THE WOODLANDS,TX,77381,48339,Montgomery County,data/raw/sec_edgar_hq/filing_documents/CIK0001888447/000095017022010683/ee-20220331.htm,48339,Montgomery County,1.0,"2445 TECHNOLOGY FOREST BLVD ., LEVEL 6|THE WOODLANDS|TX|77381"
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0167,"Excelerate Energy, Inc.",EE,2023-03-29,10-K,0000950170-23-010373,"2445 Technology Forest Blvd ., Level 6",The Woodlands,TX,77381,2445 TECHNOLOGY FOREST BLVD. LEVEL 6,THE WOODLANDS,TX,77381,48339,Montgomery County,data/raw/sec_edgar_hq/filing_documents/CIK0001888447/000095017023010373/ee-20221231.htm,48339,Montgomery County,1.0,"2445 TECHNOLOGY FOREST BLVD ., LEVEL 6|THE WOODLANDS|TX|77381"
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0168,"Excelerate Energy, Inc.",EE,2026-02-27,10-K,0001193125-26-078407,"2445 Technology Forest Blvd ., Level 6",The Woodlands,TX,77381,2445 TECHNOLOGY FOREST BLVD. LEVEL 6,THE WOODLANDS,TX,77381,48339,Montgomery County,data/raw/sec_edgar_hq/filing_documents/CIK0001888447/000119312526078407/ee-20251231.htm,48339,Montgomery County,1.0,"2445 TECHNOLOGY FOREST BLVD ., LEVEL 6|THE WOODLANDS|TX|77381"
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0369,"Excelerate Energy, Inc.",EE,2026-05-07,10-Q,0001193125-26-212193,"2445 Technology Forest Blvd ., Level 6",The Woodlands,TX,77381,2445 TECHNOLOGY FOREST BLVD. LEVEL 6,THE WOODLANDS,TX,77381,48339,Montgomery County,data/raw/sec_edgar_hq/filing_documents/CIK0001888447/000119312526212193/ee-20260331.htm,48339,Montgomery County,1.0,"2445 TECHNOLOGY FOREST BLVD ., LEVEL 6|THE WOODLANDS|TX|77381"
