provider_year_key,cms_provider_number,fiscal_year,provider_name,state_abbr,external_manual_lane,reviewer_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_geocode_match_type,census_match_status,census_match_type,census_matched_address,census_candidate_score,review_issue
394040__2024,394040,2024,THE MEADOWS HOSPITAL,PA,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
400138__2023,400138,2023,PUERTO RICO WOMEN AND CHILDRENS HOSP,PR,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
460060__2024,460060,2024,LONE PEAK HOSPITAL,UT,external_geocoder_required_no_local_candidate,hold,49035,"Salt Lake County, Utah",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"11925 STATE ST, DRAPER, UT, 84020",0.88,street_token_support_missing
400115__2023,400115,2023,HOSPITAL WILMA N VAZQUEZ,PR,external_geocoder_required_no_local_candidate,hold,72143,Vega Alta Muno,0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"39 CLL 5, VEGA BAJA, PR, 00693",0.88,leading_street_number_not_supported; street_token_support_missing
400105__2024,400105,2024,BAYAMON REGIONAL HOSPITAL,PR,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
660001__2023,660001,2023,COMMONWEALTH HEALTH CENTER,MP,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
224039__2023,224039,2023,HAVERHILL PAVILION,MA,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
480002__2023,480002,2023,GOV. JUAN F. LUIS HOSPITAL,VI,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
403027__2023,403027,2023,MULTY MEDICAL FACILITIES,PR,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
400128__2023,400128,2023,HOSPITAL METRO HATO REY INC.,PR,external_geocoder_required_no_local_candidate,accept,72127,San Juan Muno,0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"435 AVE PONCE DE LEON, HATO REY, PR, 00917",0.88,
400137__2023,400137,2023,DOCTORS CENTER HOSPITAL OH-DORADO,PR,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
400122__2024,400122,2024,PROFESSIONAL HOSPITAL,PR,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
400012__2024,400012,2024,HOSPITAL I GONZALEZ MARTINEZ,PR,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
404007__2023,404007,2023,HOSPITAL PSIQUIATRICO CABO ROJO,PR,external_geocoder_required_no_local_candidate,accept,72023,Cabo Rojo Muno,0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"108 CLL MUNOZ RIVERA, CABO ROJO, PR, 00623",0.88,
191309__2023,191309,2023,HOOD MEMORIAL HOSPITAL,LA,external_geocoder_required_no_local_candidate,accept,22105,"Tangipahoa Parish, Louisiana",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"301 WALNUT ST, AMITE, LA, 70422",0.88,
241347__2023,241347,2023,SANFORD HOSPITAL CANBY,MN,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
371307__2023,371307,2023,CIMARRON MEMORIAL HOSPITAL,OK,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
021307__2023,021307,2023,CORDOVA COMMUNITY MEDICAL CENTER,AK,external_geocoder_required_no_local_candidate,accept,02063,"Chugach Census Area, Alaska",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"602 CHASE AVE, CORDOVA, AK, 99574",0.88,
400010__2023,400010,2023,CASTANER HOSPITAL,PR,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
