provider_year_key,cms_provider_number,fiscal_year,provider_name,state_abbr,external_manual_lane,reviewer_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_geocode_match_type,census_match_status,census_match_type,census_matched_address,census_candidate_score,review_issue
054149__2024,054149,2024,WILLOW ROCK CENTER,CA,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
213300__2024,213300,2024,MT WASHINGTON PEDIATRICS,MD,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
400016__2023,400016,2023,AUXILIO MUTUO HOSPITAL,PR,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
400044__2023,400044,2023,SAN LUCAS PONCE,PR,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
400061__2024,400061,2024,UNIVERSITY DISCTRICT HOSPITAL,PR,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
400127__2024,400127,2024,ADMIN DE SERVICIOS MEDICOS DE PR,PR,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
400015__2024,400015,2024,SAN JUAN MUNICIPAL HOSPITAL,PR,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
400098__2023,400098,2023,HOSPITAL SAN FRANCISCO,PR,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
400106__2023,400106,2023,HOSPITAL METROPOLITANO,PR,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
400022__2023,400022,2023,HOSPITAL DAMAS,PR,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
224045__2023,224045,2023,HOSPITAL FOR BEHAVIORAL MEDICINE,MA,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
400006__2023,400006,2023,DOCTORS CENTER HOSPITAL SAN JUAN I,PR,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
450874__2023,450874,2023,BAYLOR SURGICAL HOSPITAL LAS COLINAS,TX,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
403301__2024,403301,2024,UNIVERSITY PEDIATRIC HOSPITAL,PR,same_city_unresolved_after_census_external_geocoder,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
050224__2023,050224,2023,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,CA,external_geocoder_required_no_local_candidate,hold,06059,"Orange County, California",0.84,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"1 HOAG DR, NEWPORT BEACH, CA, 92663",0.75,census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported
050367__2023,050367,2023,NORTHBAY HOSPITAL GROUP,CA,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
390180__2023,390180,2023,CROZER CHESTER MEDICAL CENTER,PA,external_geocoder_required_no_local_candidate,hold,42045,"Delaware County, Pennsylvania",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"1 MEDICAL CENTER BLVD, CHESTER, PA, 19013",0.83,census_score_below_0_88; leading_street_number_not_supported; matched_address_lacks_city_support
500036__2023,500036,2023,YAKIMA VALLEY MEMORIAL HOSPITAL,WA,external_geocoder_required_no_local_candidate,accept,53077,"Yakima County, Washington",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"2811 W TIETON DR, YAKIMA, WA, 98902",0.88,
250141__2023,250141,2023,BAPTIST MEM HOSPITAL DESOTO,MS,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
230151__2023,230151,2023,COREWELL HEALTH- FARMINGTON HILLS,MI,external_geocoder_required_no_local_candidate,accept,26125,"Oakland County, Michigan",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"28050 GRAND RIVER AVE, FARMINGTON HILLS, MI, 48336",0.88,
220084__2023,220084,2023,EMERSON HOSPITAL,MA,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
100189__2023,100189,2023,HCA FLORIDA NORTHWEST HOSPITAL,FL,external_geocoder_required_no_local_candidate,hold,12011,"Broward County, Florida",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"2801 STATE HWY 7, MARGATE, FL, 33063",0.88,street_token_support_missing
150015__2023,150015,2023,FRANCISCAN HEALTH MICHIGAN CITY,IN,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
100269__2024,100269,2024,HCA FLORIDA PALMS WEST HOSPITAL,FL,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
140164__2024,140164,2024,MEMORIAL HOSPITAL OF CARBONDALE,IL,external_geocoder_required_no_local_candidate,hold,17077,"Jackson County, Illinois",0.84,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"405 W JACKSON ST, CARBONDALE, IL, 62901",0.8,census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5
264010__2024,264010,2024,ST. LOUIS FORENSIC TREATMENT CENTER,MO,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
140054__2024,140054,2024,MACNEAL HOSPITAL,IL,external_geocoder_required_no_local_candidate,accept,17031,"Cook County, Illinois",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"3249 OAK PARK AVE, BERWYN, IL, 60402",0.88,
110192__2024,110192,2024,PIEDMONT EASTSIDE MEDICAL CENTER,GA,external_geocoder_required_no_local_candidate,hold,13135,"Gwinnett County, Georgia",0.84,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"1700 MEDICAL WAY, SNELLVILLE, GA, 30078",0.8,census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5
100224__2024,100224,2024,HCA FLORIDA WOODMONT HOSPITAL,FL,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
440068__2023,440068,2023,ATHENS REGIONAL MEDICAL CENTER,TN,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
450669__2024,450669,2024,MEDICAL CITY LEWISVILLE,TX,external_geocoder_required_no_local_candidate,accept,48121,"Denton County, Texas",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"500 W MAIN ST, LEWISVILLE, TX, 75067",0.88,
230142__2024,230142,2024,COREWELL HEALTH WAYNE,MI,external_geocoder_required_no_local_candidate,accept,26163,"Wayne County, Michigan",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"33155 ANNAPOLIS ST, WAYNE, MI, 48184",0.88,
440194__2024,440194,2024,TRISTAR HENDERSONVILLE MEDICAL CENTE,TN,external_geocoder_required_no_local_candidate,hold,47165,"Sumner County, Tennessee",0.84,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"355 NEW SHACKLE ISLAND RD, HENDERSONVILLE, TN, 37075",0.8,census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5
230099__2023,230099,2023,MONROE REGIONAL HOSPITAL,MI,external_geocoder_required_no_local_candidate,accept,26115,"Monroe County, Michigan",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"718 N MACOMB ST, MONROE, MI, 48162",0.88,
140008__2024,140008,2024,GOTTLIEB MEMORIAL HOSPITAL,IL,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
054154__2023,054154,2023,SAN JOSE BEHAVIORAL HEALTH,CA,external_geocoder_required_no_local_candidate,hold,06085,"Santa Clara County, California",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"455 SILICON VALLEY BLVD, SAN JOSE, CA, 95138",0.88,matched_address_lacks_city_support
390336__2024,390336,2024,HAMPDEN MEDICAL CENTER,PA,external_geocoder_required_no_local_candidate,accept,42041,"Cumberland County, Pennsylvania",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"2200 N GOOD HOPE RD, ENOLA, PA, 17025",0.88,
460013__2024,460013,2024,MOUNTAIN VIEW HOSPITAL,UT,external_geocoder_required_no_local_candidate,hold,49049,"Utah County, Utah",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"1000 E 100 S, PAYSON, UT, 84651",0.88,street_token_support_missing
110023__2023,110023,2023,ADVENTHEALTH GORDON,GA,external_geocoder_required_no_local_candidate,hold,13129,"Gordon County, Georgia",0.84,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"1035 RED BUD RD NE, CALHOUN, GA, 30701",0.8,census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5
440065__2024,440065,2024,NORTHCREST MEDICAL CENTER,TN,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
190013__2023,190013,2023,WEST CALCASIEU-CAMERON HOSPITAL,LA,external_geocoder_required_no_local_candidate,accept,22019,"Calcasieu Parish, Louisiana",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"701 CYPRESS ST, SULPHUR, LA, 70663",0.88,
190014__2023,190014,2023,OCHSNER ST. MARY,LA,external_geocoder_required_no_local_candidate,hold,22101,"St. Mary Parish, Louisiana",0.84,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"1125 MARGUERITE ST, MORGAN CITY, LA, 70380",0.8,census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5
194114__2023,194114,2023,RIVER PLACE BEHAVIORAL HEALTH,LA,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
