review_rank,fips,county,state_abbr,year,investable_residual_model_score,p0_repeatable_residual_guardrail_score,_base_rank,guardrail_preserved_flag,guardrail_candidate_flag,p0_repeatable_anchor_mix_support,p0_repeatable_jobs_affordability_support,p0_repeatable_migration_pop_support,p0_repeatable_land_optionality_support,p0_repeatable_treatment_score,preboom_prior_momentum_rank_pct,future_growth_residual_5yr,preboom_future_growth_rank_pct_5yr,total_population,emerging_market_depth_adequacy,qa_severity
58,47009,"Blount County, Tennessee",TN,2019,0.06877715166523027,2.945757071547421,194.0,0,1,0.7946342178853986,0.8556728418830092,0.7944738996607075,0.4985708014950258,0.7405416424433844,0.7120505992010653,0.3281776997110847,0.9700499168053245,129927.0,0.6969579361102023,1
59,34015,"Gloucester County, New Jersey",NJ,2019,0.0900531096035664,2.9406821963394343,95.0,0,1,0.7002681796931582,0.9338559782223229,0.42097237638649443,0.5006826939832492,0.6438506768810544,0.11151797603195739,0.2383477048728424,0.8785357737104825,291165.0,0.5855618554474495,1
60,05009,"Boone County, Arkansas",AR,2019,0.06474072768701537,2.936522462562396,213.0,0,1,0.826773352746967,0.6208191427472232,0.6093132276881656,0.7794080363744929,0.7184940329178325,0.4247669773635153,0.2091650092155552,0.7860232945091514,37331.0,0.9508958170537931,1
61,49043,"Summit County, Utah",UT,2019,0.07869371296243542,2.9294509151414307,143.0,0,1,0.48008500707827173,0.8859153043117713,0.9493975785056956,0.32534971588817285,0.6457787498965614,0.6504660452729694,0.12928344698009386,0.9148086522462563,41103.0,0.8216455757826141,1
62,01095,"Marshall County, Alabama",AL,2019,0.07624126421020694,2.927038269550749,155.0,0,1,0.5522587473005609,0.7605756446420435,0.5939387856316274,0.7159628898215556,0.6474099952850759,0.6001997336884154,0.1444004812291279,0.6296173044925125,95643.0,0.7828938833914824,0
63,51053,"Dinwiddie County, Virginia",VA,2019,0.063196797086339,2.918801996672213,225.0,0,1,0.821711133173146,0.8007310255131525,0.6969203882577995,0.30996365582811847,0.6704819172914614,0.6737683089214381,0.30411811880137835,0.9580698835274543,28485.0,0.7987199343918909,1
64,47125,"Montgomery County, Tennessee",TN,2019,0.07117667505626207,2.9149750415973377,176.0,0,1,0.4377250336585091,0.8204444477933579,0.9686817577088697,0.36992021284324594,0.6322754366535968,0.5815579227696405,0.1471599141151061,0.7554076539101497,200180.0,0.632493060487441,1
65,45013,"Beaufort County, South Carolina",SC,2019,0.08418253969094228,2.914891846921797,118.0,0,1,0.542469756534719,0.9321575887658923,0.9492558785789071,0.040085097524035565,0.610110294445595,0.20838881491344874,0.2904184989554328,0.9128119800332779,186095.0,0.6102293754192059,1
66,34007,"Camden County, New Jersey",NJ,2019,0.07691802082194639,2.9126455906821964,152.0,0,1,0.8018337878551165,0.7186967344593721,0.3301074951389053,0.5606106806832073,0.6187339035998276,0.2802929427430093,0.3124713568100096,0.956738768718802,506738.0,0.5387687267553279,1
67,51019,"Bedford County, Virginia",VA,2019,0.059264379426449514,2.911647254575707,259.0,0,1,0.7152642806875626,0.4811907416454069,0.745023577293374,0.736172186286998,0.6730808232150736,0.28961384820239683,0.14119173457503914,0.6093178036605658,78376.0,0.8049544292007271,0
68,56001,"Albany County, Wyoming",WY,2019,0.07275597580113503,2.90981697171381,170.0,0,1,0.5612231318060141,0.4721642373994576,0.849010462177928,0.6226153371544029,0.6210508793081757,0.2406790945406125,0.09829598201775552,0.41098169717138106,38390.0,0.9771695318829431,1
69,40081,"Lincoln County, Oklahoma",OK,2019,0.053731989434960194,2.9075707154742094,309.0,0,1,0.7330657512287948,0.6899912541897292,0.699468034858182,0.6607639205096804,0.6988017210791725,0.6068575233022636,0.13975015104008182,0.713477537437604,34895.0,0.8378398879204434,1
70,51770,"Roanoke city, Virginia",VA,2019,0.05655388934084092,2.905074875207987,281.0,0,1,0.7593825948818114,0.42016943487585356,0.7168557967078384,0.7559083919453699,0.6707833378250458,0.6188415446071904,0.2537251210026646,0.9071547420965058,99229.0,0.7341127155441254,0
71,46103,"Pennington County, South Dakota",SD,2019,0.05260100255507446,2.900083194675541,328.0,0,1,0.6917408690281714,0.6325895900436221,0.9027255587306835,0.5246181057439884,0.6882243179379407,0.579560585885486,0.13782992429591767,0.7207986688851914,110685.0,0.7086902754001527,0
72,29043,"Christian County, Missouri",MO,2019,0.053312521800592934,2.8962562396006657,319.0,0,1,0.6193104763717525,0.836923769881694,0.9202195955254312,0.33195975240880843,0.672479964772908,0.6850865512649801,0.04908673678644748,0.6209650582362729,85658.0,0.7992743852941683,0
73,41061,"Union County, Oregon",OR,2019,0.05697973972434893,2.8947587354409317,277.0,0,1,0.4554208535321108,0.7757883028387119,0.7491761723700887,0.656324142550047,0.6428768466794893,0.5898801597869507,0.07556451691380794,0.6332778702163061,26337.0,0.8414036173960686,1
74,35043,"Sandoval County, New Mexico",NM,2019,0.06163193174330638,2.889267886855241,245.0,0,1,0.3500801541233177,0.8192307249466931,0.8525614229821536,0.5463327357025618,0.6186935710134525,0.6175099866844208,0.22068632934220256,0.8462562396006655,142704.0,0.7012962354359668,0
75,30049,"Lewis and Clark County, Montana",MT,2019,0.044708087277995294,2.8747088186356073,418.0,0,1,0.6326052905689782,0.7139034746011476,0.7892038432169033,0.6016230529951686,0.6801956253634237,0.6271637816245007,0.21005953119512655,0.8805324459234609,67805.0,0.799874366382795,0
