batch_id,census_input_address,census_match_status,census_match_type,census_matched_address,census_coordinates,census_lon,census_lat,census_tigerline_id,census_tigerline_side,census_state_fips,census_county_fips,candidate_fips,census_tract,census_block,census_raw_field_count
sec_pit_0397__059,"811 LOUISIANA ST, SUITE 1200, Houston, TX, 77002",Match,Exact,"811 LOUISIANA ST, HOUSTON, TX, 77002","-95.366387594594,29.759861766574",-95.366387594594,29.759861766574,96067684,L,48,201,48201,980700,1077,12
sec_pit_0397__058,"2100, Houston, TX, 77002",No_Match,,,,,,,,,,,,,3
sec_pit_0032__009,"1 Infinite Loop, Cupertino, CA, 95014",No_Match,,,,,,,,,,,,,3
sec_pit_0380__053,"8285 Tournament Drive, Memphis, TN, 38125",Match,Exact,"8285 TOURNAMENT DR, MEMPHIS, TN, 38125","-89.787660654279,35.057487558864",-89.787660654279,35.057487558864,618109859,R,47,157,47157,021355,4029,12
sec_pit_0380__052,"43059 Delaware 39-3560171 8285 Tournament Drive, Memphis, TN, 38125",Match,Non_Exact,"8285 TOURNAMENT DR, MEMPHIS, TN, 38125","-89.787660654279,35.057487558864",-89.787660654279,35.057487558864,618109859,R,47,157,47157,021355,4029,12
sec_pit_0090__022,"700 Milam Street, Suite 800, Houston, TX, 77002",Match,Exact,"700 MILAM ST, HOUSTON, TX, 77002","-95.364984867216,29.760235481636",-95.364984867216,29.760235481636,96067694,R,48,201,48201,980700,1063,12
sec_pit_0380__054,"8525 TOURNAMENT DRIVE, Memphis, TN, 38125",Match,Exact,"8525 TOURNAMENT DR, MEMPHIS, TN, 38125","-89.778148512285,35.059357469886",-89.778148512285,35.059357469886,72959435,R,47,157,47157,021355,2007,12
sec_pit_0090__023,"700 Milam Street, Houston, TX, 77002",Match,Exact,"700 MILAM ST, HOUSTON, TX, 77002","-95.364984867216,29.760235481636",-95.364984867216,29.760235481636,96067694,R,48,201,48201,980700,1063,12
sec_pit_0090__024,"845 TEXAS AVENUE SUITE 1250, Houston, TX, 77002",Match,Non_Exact,"845 TEXAS ST, HOUSTON, TX, 77002","-95.363842867798,29.760823542011",-95.363842867798,29.760823542011,96067455,L,48,201,48201,980700,1066,12
sec_pit_0032__008,"36743 Apple Inc. California 94-2404110 1 Infinite Loop, Cupertino, CA, 95014",No_Match,,,,,,,,,,,,,3
