external_manual_rank,provider_year_key,cms_provider_number,fiscal_year,provider_name,street_address,city,state_abbr,zip5,geocoder_query,external_manual_lane,review_priority,review_issue,provider_volume_score,reviewer_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_geocode_source,manual_geocode_match_type,manual_review_note,reviewed_by,reviewed_at
22,400016__2023,400016,2023,AUXILIO MUTUO HOSPITAL,PONCE DE LEON,SAN JUAN,PR,00919,"PONCE DE LEON, SAN JUAN, PR, 00919",same_city_unresolved_after_census_external_geocoder,medium,cms_county_blank,1.0,hold,72127,San Juan Muno,0.82,openstreetmap_nominatim_point_in_county_external_geocoder,,Held by strict OSM/Nominatim external geocoder review: house_number_not_supported; confidence_below_0_90.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00
23,400044__2023,400044,2023,SAN LUCAS PONCE,917 AVE TITO CASTRO,PONCE,PR,00733,"917 AVE TITO CASTRO, PONCE, PR, 00733",same_city_unresolved_after_census_external_geocoder,medium,cms_county_blank,0.7807,accept,72113,Ponce Muno,1.0,openstreetmap_nominatim_point_in_county_external_geocoder,external_geocoder_house_zip_city_state_point_county,"Accepted from strict OSM/Nominatim external geocoder review: returned point maps to Ponce Muno (72113) in local county polygons with house number, ZIP, city/state, and supported result type; confidence 1.0. Result: Hospital San Lucas, 917, Avenida Tito Castro, La Coroza, Sector Lajes, Machuelo Abajo, Ponce, Puerto Rico, 00733, United States.",codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00
24,400061__2024,400061,2024,UNIVERSITY DISCTRICT HOSPITAL,BO. MONACILLO,SAN JUAN,PR,00922,"BO. MONACILLO, SAN JUAN, PR, 00922",same_city_unresolved_after_census_external_geocoder,medium,county_text_unmatched,0.474,hold,72127,San Juan Muno,0.48,openstreetmap_nominatim_point_in_county_external_geocoder,,Held by strict OSM/Nominatim external geocoder review: house_number_not_supported; postcode_not_supported; result_type_name_or_road_not_supported; confidence_below_0_90.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00
25,400127__2024,400127,2024,ADMIN DE SERVICIOS MEDICOS DE PR,CENTRO MEDICO,SAN JUAN,PR,00922,"CENTRO MEDICO, SAN JUAN, PR, 00922",same_city_unresolved_after_census_external_geocoder,medium,cms_county_blank,0.4122,hold,72127,San Juan Muno,0.48,openstreetmap_nominatim_point_in_county_external_geocoder,,Held by strict OSM/Nominatim external geocoder review: house_number_not_supported; postcode_not_supported; result_type_name_or_road_not_supported; confidence_below_0_90.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00
26,400015__2024,400015,2024,SAN JUAN MUNICIPAL HOSPITAL,RIO PIEDRAS STATION,SAN JUAN,PR,00928,"RIO PIEDRAS STATION, SAN JUAN, PR, 00928",same_city_unresolved_after_census_external_geocoder,medium,cms_county_blank,0.3369,hold,72127,San Juan Muno,0.52,openstreetmap_nominatim_point_in_county_external_geocoder,,Held by strict OSM/Nominatim external geocoder review: house_number_not_supported; postcode_not_supported; confidence_below_0_90.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00
27,400098__2023,400098,2023,HOSPITAL SAN FRANCISCO,DE DIEGO AVE. #371,RIO PIEDRAS,PR,00923,"DE DIEGO AVE. #371, RIO PIEDRAS, PR, 00923",same_city_unresolved_after_census_external_geocoder,medium,county_text_unmatched,0.323,hold,72127,San Juan Muno,0.9,openstreetmap_nominatim_point_in_county_external_geocoder,,Held by strict OSM/Nominatim external geocoder review: city_not_supported.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00
28,400106__2023,400106,2023,HOSPITAL METROPOLITANO,21 #1785,RIO PIEDRAS,PR,00922,"21 #1785, RIO PIEDRAS, PR, 00922",same_city_unresolved_after_census_external_geocoder,medium,cms_county_blank,0.3067,hold,72127,San Juan Muno,0.68,openstreetmap_nominatim_point_in_county_external_geocoder,,Held by strict OSM/Nominatim external geocoder review: house_number_not_supported; city_not_supported; confidence_below_0_90.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00
29,400022__2023,400022,2023,HOSPITAL DAMAS,2213 PONCE BY PASS,PONCE,PR,00717,"2213 PONCE BY PASS, PONCE, PR, 00717",same_city_unresolved_after_census_external_geocoder,medium,cms_county_blank,0.2974,accept,72113,Ponce Muno,1.0,openstreetmap_nominatim_point_in_county_external_geocoder,external_geocoder_house_zip_city_state_point_county,"Accepted from strict OSM/Nominatim external geocoder review: returned point maps to Ponce Muno (72113) in local county polygons with house number, ZIP, city/state, and supported result type; confidence 1.0. Result: Hospital Damas, 2213, Ponce Bypass, Playa, Ponce, Puerto Rico, 00717, United States.",codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00
30,224045__2023,224045,2023,HOSPITAL FOR BEHAVIORAL MEDICINE,100 CENTURY DR,WORCESTER,MA,01606,"100 CENTURY DR, WORCESTER, MA, 01606",same_city_unresolved_after_census_external_geocoder,medium,county_text_unmatched,0.2788,accept,25027,"Worcester County, Massachusetts",1.0,openstreetmap_nominatim_point_in_county_external_geocoder,external_geocoder_house_zip_city_state_point_county,"Accepted from strict OSM/Nominatim external geocoder review: returned point maps to Worcester County, Massachusetts (25027) in local county polygons with house number, ZIP, city/state, and supported result type; confidence 1.0. Result: Hospital for Behavioral Medicine, 100, Century Drive, Great Brook Valley, Worcester, Worcester County, Massachusetts, 01606, United States.",codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00
31,400006__2023,400006,2023,DOCTORS CENTER HOSPITAL SAN JUAN I,1395 SAN RAFAEL ST. PDA. 20,SAN JUAN,PR,00910,"1395 SAN RAFAEL ST. PDA. 20, SAN JUAN, PR, 00910",same_city_unresolved_after_census_external_geocoder,medium,cms_county_blank,0.2556,hold,,,,,,Held by strict OSM/Nominatim external geocoder review: no_geocoder_result.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00
32,450874__2023,450874,2023,BAYLOR SURGICAL HOSPITAL LAS COLINAS,400 W I-635 SUITE 101,IRVING,TX,75063,"400 W I-635 SUITE 101, IRVING, TX, 75063",same_city_unresolved_after_census_external_geocoder,medium,county_text_unmatched,0.1405,hold,,,,,,Held by strict OSM/Nominatim external geocoder review: no_geocoder_result.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00
33,403301__2024,403301,2024,UNIVERSITY PEDIATRIC HOSPITAL,PO BOX 191079,SAN JUAN,PR,00910,"PO BOX 191079, SAN JUAN, PR, 00910",same_city_unresolved_after_census_external_geocoder,medium,cms_county_blank,0.0,hold,,,,,,Held by strict OSM/Nominatim external geocoder review: no_geocoder_result.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00
