cms_provider_number,fiscal_year,manual_review_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_review_note,acceptance_source,acceptance_action,accepted_at,packet_rank,provider_name,state_abbr,street_address,city,zip5,raw_county,review_issue,candidate_method,suggested_fips,suggested_county_name,supporting_matched_provider_rows,closeout_action,acceptance_status,acceptance_issue,production_model_rank_or_dashboard_change
490009,2024,assign_county,51003,"Albemarle County, Virginia",0.76,"Accepted report-only institutional-anchor CMS provider geocode closeout: same-state/same-ZIP unique matched CMS county assigned Albemarle County, Virginia (51003) for provider 490009 fiscal year 2024. Same-city and external-geocode rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_closeout_packet.csv,approve_same_zip_candidate_after_address_spotcheck,2026-06-04T15:35:17.159055+00:00,11,UNIVERSITY OF VIRGINIA MEDICAL CENTE,VA,855 WEST MAIN STREET,CHARLOTTESVILLE,22908,,cms_county_blank,same_state_city_unique_matched_cms_rows,51003,"Albemarle County, Virginia",2,spot_check_same_city_candidate_before_assignment,held_or_rejected,not_same_zip_closeout_action; not_same_zip_candidate_method; candidate_confidence_below_0_86,False
100131,2023,assign_county,12086,"Miami-Dade County, Florida",0.76,"Accepted report-only institutional-anchor CMS provider geocode closeout: same-state/same-ZIP unique matched CMS county assigned Miami-Dade County, Florida (12086) for provider 100131 fiscal year 2023. Same-city and external-geocode rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_closeout_packet.csv,approve_same_zip_candidate_after_address_spotcheck,2026-06-04T15:35:17.159055+00:00,12,HCA FLORIDA AVENTURA HOSPITAL,FL,2801 NE 209TH ST AT BISCAYNE BLVD,MIAMI,33180,,cms_county_blank,same_state_city_unique_matched_cms_rows,12086,"Miami-Dade County, Florida",14,spot_check_same_city_candidate_before_assignment,held_or_rejected,not_same_zip_closeout_action; not_same_zip_candidate_method; candidate_confidence_below_0_86,False
030115,2023,assign_county,04013,"Maricopa County, Arizona",0.76,"Accepted report-only institutional-anchor CMS provider geocode closeout: same-state/same-ZIP unique matched CMS county assigned Maricopa County, Arizona (04013) for provider 030115 fiscal year 2023. Same-city and external-geocode rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_closeout_packet.csv,approve_same_zip_candidate_after_address_spotcheck,2026-06-04T15:35:17.159055+00:00,13,BANNER ESTRELLA MEDICAL CENTER,AZ,9201 WEST THOMAS ROAD,PHOENIX,85037,,cms_county_blank,same_state_city_unique_matched_cms_rows,04013,"Maricopa County, Arizona",24,spot_check_same_city_candidate_before_assignment,held_or_rejected,not_same_zip_closeout_action; not_same_zip_candidate_method; candidate_confidence_below_0_86,False
100242,2024,assign_county,12005,"Bay County, Florida",0.76,"Accepted report-only institutional-anchor CMS provider geocode closeout: same-state/same-ZIP unique matched CMS county assigned Bay County, Florida (12005) for provider 100242 fiscal year 2024. Same-city and external-geocode rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_closeout_packet.csv,approve_same_zip_candidate_after_address_spotcheck,2026-06-04T15:35:17.159055+00:00,14,HCA FLORIDA GULF COAST HOSPITAL,FL,449 WEST 23RD STREET,PANAMA CITY,32404,,cms_county_blank,same_state_city_unique_matched_cms_rows,12005,"Bay County, Florida",4,spot_check_same_city_candidate_before_assignment,held_or_rejected,not_same_zip_closeout_action; not_same_zip_candidate_method; candidate_confidence_below_0_86,False
450079,2024,assign_county,48113,"Dallas County, Texas",0.76,"Accepted report-only institutional-anchor CMS provider geocode closeout: same-state/same-ZIP unique matched CMS county assigned Dallas County, Texas (48113) for provider 450079 fiscal year 2024. Same-city and external-geocode rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_closeout_packet.csv,approve_same_zip_candidate_after_address_spotcheck,2026-06-04T15:35:17.159055+00:00,15,BAYLOR S&W MEDICAL CENTER - IRVING,TX,1901 NORTH MACARTHUR BLVD,IRVING,75061,,cms_county_blank,same_state_city_unique_matched_cms_rows,48113,"Dallas County, Texas",1,spot_check_same_city_candidate_before_assignment,held_or_rejected,not_same_zip_closeout_action; not_same_zip_candidate_method; candidate_confidence_below_0_86,False
284003,2024,assign_county,31109,"Lancaster County, Nebraska",0.76,"Accepted report-only institutional-anchor CMS provider geocode closeout: same-state/same-ZIP unique matched CMS county assigned Lancaster County, Nebraska (31109) for provider 284003 fiscal year 2024. Same-city and external-geocode rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_closeout_packet.csv,approve_same_zip_candidate_after_address_spotcheck,2026-06-04T15:35:17.159055+00:00,16,LINCOLN REGIONAL CENTER,NE,FOLSOM & PROSPECTOR,LINCOLN,68509,,cms_county_blank,same_state_city_unique_matched_cms_rows,31109,"Lancaster County, Nebraska",6,spot_check_same_city_candidate_before_assignment,held_or_rejected,not_same_zip_closeout_action; not_same_zip_candidate_method; candidate_confidence_below_0_86,False
130018,2023,assign_county,16019,"Bonneville County, Idaho",0.76,"Accepted report-only institutional-anchor CMS provider geocode closeout: same-state/same-ZIP unique matched CMS county assigned Bonneville County, Idaho (16019) for provider 130018 fiscal year 2023. Same-city and external-geocode rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_closeout_packet.csv,approve_same_zip_candidate_after_address_spotcheck,2026-06-04T15:35:17.159055+00:00,17,EASTERN IDAHO REGIONAL MEDICAL CENTE,ID,3100 CHANNING WAY,IDAHO FALLS,83403,,cms_county_blank,same_state_city_unique_matched_cms_rows,16019,"Bonneville County, Idaho",2,spot_check_same_city_candidate_before_assignment,held_or_rejected,not_same_zip_closeout_action; not_same_zip_candidate_method; candidate_confidence_below_0_86,False
210024,2024,assign_county,24005,"Baltimore County, Maryland",0.76,"Accepted report-only institutional-anchor CMS provider geocode closeout: same-state/same-ZIP unique matched CMS county assigned Baltimore County, Maryland (24005) for provider 210024 fiscal year 2024. Same-city and external-geocode rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_closeout_packet.csv,approve_same_zip_candidate_after_address_spotcheck,2026-06-04T15:35:17.159055+00:00,18,MEDSTAR UNION MEMORIAL HOSPITAL,MD,201 EAST UNIVERSITY PARKWAY,BALTIMORE,21218,,cms_county_blank,same_state_city_unique_matched_cms_rows,24005,"Baltimore County, Maryland",12,spot_check_same_city_candidate_before_assignment,held_or_rejected,not_same_zip_closeout_action; not_same_zip_candidate_method; candidate_confidence_below_0_86,False
670082,2024,assign_county,48085,"Collin County, Texas",0.76,"Accepted report-only institutional-anchor CMS provider geocode closeout: same-state/same-ZIP unique matched CMS county assigned Collin County, Texas (48085) for provider 670082 fiscal year 2024. Same-city and external-geocode rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_closeout_packet.csv,approve_same_zip_candidate_after_address_spotcheck,2026-06-04T15:35:17.159055+00:00,19,BAYLOR S&W MEDICAL CENTER - MCKINNEY,TX,5252 W UNIVERSITY DR,MCKINNEY,75021,,cms_county_blank,same_state_city_unique_matched_cms_rows,48085,"Collin County, Texas",2,spot_check_same_city_candidate_before_assignment,held_or_rejected,not_same_zip_closeout_action; not_same_zip_candidate_method; candidate_confidence_below_0_86,False
370056,2024,assign_county,40031,"Comanche County, Oklahoma",0.76,"Accepted report-only institutional-anchor CMS provider geocode closeout: same-state/same-ZIP unique matched CMS county assigned Comanche County, Oklahoma (40031) for provider 370056 fiscal year 2024. Same-city and external-geocode rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_closeout_packet.csv,approve_same_zip_candidate_after_address_spotcheck,2026-06-04T15:35:17.159055+00:00,20,COMANCHE COUNTY MEMORIAL HOSPITAL,OK,3401 W GORE,LAWTON,73502,,cms_county_blank,same_state_city_unique_matched_cms_rows,40031,"Comanche County, Oklahoma",3,spot_check_same_city_candidate_before_assignment,held_or_rejected,not_same_zip_closeout_action; not_same_zip_candidate_method; candidate_confidence_below_0_86,False
