diversity_rank,source_pool_rank,diversity_lane,balance_archetype,balance_archetype_score,fips,county,state_abbr,census_region,primary_archetype,primary_archetype_score,secondary_archetype,secondary_archetype_score,energy_commodity_high_caution,qa_status,qa_flags,export_priority_rank,export_priority_score,preboom_classifier_score,investable_residual_model_score,preboom_prior_momentum_rank_pct,emerging_market_depth_adequacy,wave3_net_support,total_population,short_thesis,structural_summary,support_narrative,brake_narrative,next_diligence_check
11,18,primary_archetype_slot,amenity migration,75.65004063879712,42065,"Jefferson County, Pennsylvania",PA,Northeast,amenity migration,75.65004063879712,retirement migration,75.65004063879712,False,unreviewed,,18,0.9205272255834054,0.4809176985368864,0.056289584016789476,0.10661049902786779,0.9768408868835001,0.10344321825676,43367.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 10.7%, inside the not-hot gate. Market-depth adequacy is high (0.977).",Wave 3 support is moderate; structural brakes are moderate. Supports: no major structural supports flagged. Brakes: constraint pressure is moderate (0.650).,Structural support: no major structural supports flagged,Structural brakes: constraint pressure is moderate (0.650),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
12,19,primary_archetype_slot,amenity migration,73.37597162217173,55043,"Grant County, Wisconsin",WI,Midwest,amenity migration,73.37597162217173,retirement migration,73.37597162217173,False,unreviewed,,19,0.9176534140017285,0.666838743306634,0.02720804079775037,0.5521710952689566,0.977524513772997,0.0651473722051872,52330.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 55.2%, inside the not-hot gate. Market-depth adequacy is high (0.978).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.608). Brakes: no major structural brakes flagged.,Structural support: optionality is moderate (0.608),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
13,67,primary_archetype_slot,constrained-supply demand,58.2277973418499,08113,"San Miguel County, Colorado",CO,West,constrained-supply demand,58.2277973418499,recovery/rebound market,37.89809082811713,False,unreviewed,,67,0.8766421780466724,0.42683144147633245,0.07890287836240019,0.3522359040829553,0.48779617372632855,0.3315533116095572,7819.0,"Moderate quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 35.2%, inside the not-hot gate. Market-depth adequacy is moderate (0.488).",Wave 3 support is strong; structural brakes are light. Supports: fragility/support balance is strong (0.709); scarcity/amenity balance is strong (0.708); optionality is strong (0.703). Brakes: no major structural brakes flagged.,Structural support: fragility/support balance is strong (0.709); scarcity/amenity balance is strong (0.708); optionality is strong (0.703),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
14,77,primary_archetype_slot,constrained-supply demand,59.97105630367827,49019,"Grand County, Utah",UT,West,constrained-supply demand,59.97105630367827,remote-work lifestyle market,57.67424263442011,False,unreviewed,,77,0.8660112359550561,0.43398203823215403,0.04131998654866545,0.24011665586519768,0.49400752359980815,0.3674431061921891,9788.0,"Moderate quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 24.0%, inside the not-hot gate. Market-depth adequacy is moderate (0.494).",Wave 3 support is strong; structural brakes are light. Supports: scarcity/amenity balance is strong (0.746); fragility/support balance is strong (0.725); optionality is strong (0.706). Brakes: no major structural brakes flagged.,Structural support: scarcity/amenity balance is strong (0.746); fragility/support balance is strong (0.725); optionality is strong (0.706),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
15,219,primary_archetype_slot,constrained-supply demand,57.78528875018071,08015,"Chaffee County, Colorado",CO,West,constrained-supply demand,57.78528875018071,remote-work lifestyle market,57.52013459906098,False,unreviewed,,219,0.7847450302506482,0.2839438605625942,0.014013145527871938,0.3493195074530136,0.7880865290628207,0.2919086501070947,20780.0,"Low quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 34.9%, inside the not-hot gate. Market-depth adequacy is high (0.788).",Wave 3 support is strong; structural brakes are light. Supports: scarcity/amenity balance is strong (0.722); fragility/support balance is strong (0.700); optionality is strong (0.685). Brakes: no major structural brakes flagged.,Structural support: scarcity/amenity balance is strong (0.722); fragility/support balance is strong (0.700); optionality is strong (0.685),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
16,350,primary_archetype_slot,constrained-supply demand,56.83128072096083,30067,"Park County, Montana",MT,West,constrained-supply demand,56.83128072096083,amenity migration,55.97778068954716,False,unreviewed,,350,0.7288029386343993,0.6667593073778506,-0.060195831031791124,0.23169151004536617,0.6934152384870765,0.2657658641255813,18074.0,"High quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 23.2%, inside the not-hot gate. Market-depth adequacy is moderate (0.693).",Wave 3 support is moderate; structural brakes are light. Supports: scarcity/amenity balance is strong (0.705); optionality is strong (0.675); fragility/support balance is moderate (0.668). Brakes: no major structural brakes flagged.,Structural support: scarcity/amenity balance is strong (0.705); optionality is strong (0.675); fragility/support balance is moderate (0.668),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
17,761,primary_archetype_slot,constrained-supply demand,59.28346715673688,48475,"Ward County, Texas",TX,South,constrained-supply demand,59.28346715673688,amenity migration,59.0280904968809,False,unreviewed,,761,0.59509507346586,0.5670661687062454,-0.12211939392319851,0.005184705119896306,0.45590334204608907,0.4479581699552074,11038.0,"High quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 0.5%, inside the not-hot gate. Market-depth adequacy is moderate (0.456).",Wave 3 support is moderate; structural brakes are light. Supports: fragility/support balance is strong (0.795); developability is strong (0.783); site-thesis support is strong (0.711). Brakes: no major structural brakes flagged.,Structural support: fragility/support balance is strong (0.795); developability is strong (0.783); site-thesis support is strong (0.711),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
18,15,primary_archetype_slot,manufacturing reshoring,97.01896326768984,24510,"Baltimore city, Maryland",MD,South,manufacturing reshoring,97.01896326768984,remote-work lifestyle market,77.16209590267145,False,unreviewed,,15,0.9224503025064822,0.6904100114560183,0.06978659042838646,0.29261179520414776,0.5221202771354487,0.285614313956667,568271.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 29.3%, inside the not-hot gate. Market-depth adequacy is moderate (0.522).",Wave 3 support is strong; structural brakes are light. Supports: fragility/support balance is strong (0.769); scarcity/amenity balance is strong (0.696); optionality is moderate (0.666). Brakes: no major structural brakes flagged.,Structural support: fragility/support balance is strong (0.769); scarcity/amenity balance is strong (0.696); optionality is moderate (0.666),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
19,24,primary_archetype_slot,manufacturing reshoring,92.091554703584,36005,"Bronx County, New York",NY,Northeast,manufacturing reshoring,92.091554703584,amenity migration,71.22940018623285,False,unreviewed,,24,0.9137640449438202,0.6565326175685305,0.08324619715377789,0.03240440699935191,0.5226789064034656,0.1960292613429747,1384724.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 3.2%, inside the not-hot gate. Market-depth adequacy is moderate (0.523).",Wave 3 support is strong; structural brakes are moderate. Supports: site-thesis support is strong (0.736); scarcity/amenity balance is strong (0.735); fragility/support balance is strong (0.722). Brakes: wetlands constraint is moderate (0.604).,Structural support: site-thesis support is strong (0.736); scarcity/amenity balance is strong (0.735); fragility/support balance is strong (0.722),Structural brakes: wetlands constraint is moderate (0.604),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
20,35,primary_archetype_slot,manufacturing reshoring,96.6879633699107,42101,"Philadelphia County, Pennsylvania",PA,Northeast,manufacturing reshoring,96.6879633699107,amenity migration,82.95492698711465,False,unreviewed,,35,0.8959377700950734,0.5919137267019516,0.04271974659059933,0.27025275437459495,0.47593339018978864,0.2983633005511744,1573916.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 27.0%, inside the not-hot gate. Market-depth adequacy is moderate (0.476).",Wave 3 support is strong; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.785); fragility/support balance is strong (0.775); site-thesis support is strong (0.722). Brakes: wetlands constraint is moderate (0.561).,Structural support: scarcity/amenity balance is strong (0.785); fragility/support balance is strong (0.775); site-thesis support is strong (0.722),Structural brakes: wetlands constraint is moderate (0.561),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
