cms_provider_number,fiscal_year,manual_review_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_review_note,acceptance_source,acceptance_action,accepted_at,same_city_review_rank,provider_name,state_abbr,street_address,city,zip5,suggested_fips,suggested_county_name,census_candidate_fips,census_candidate_county_name,census_match_type,census_matched_address,census_candidate_score,same_city_review_action,acceptance_policy,acceptance_status,acceptance_issue,production_model_rank_or_dashboard_change
454064,2023,assign_county,48451,"Tom Green County, Texas",0.84,"Accepted report-only institutional-anchor CMS provider same-city spot-check: same_fips_street_number_name_confirmed_zip_mismatch_allowed assigned Tom Green County, Texas (48451) for provider 454064 fiscal year 2023. Remaining same-city/external rows stay under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_non_exact_same_fips_spotcheck_confirmed,2026-06-04T15:44:21.447355+00:00,11,RIVER CREST HOSPITAL,TX,1636 HUNTERS GLEN RD,SAN ANGELO,76907,48451,"Tom Green County, Texas",48451,"Tom Green County, Texas",Non_Exact,"1636 HUNTERS GLEN RD, SAN ANGELO, TX, 76901",0.8,operator_spot_check_census_context_same_fips,same_fips_street_number_name_confirmed_zip_mismatch_allowed,accepted,,False
050708,2023,assign_county,06019,"Fresno County, California",0.84,"Accepted report-only institutional-anchor CMS provider same-city spot-check: same_fips_street_number_name_confirmed_zip_mismatch_allowed assigned Fresno County, California (06019) for provider 050708 fiscal year 2023. Remaining same-city/external rows stay under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_non_exact_same_fips_spotcheck_confirmed,2026-06-04T15:44:21.447355+00:00,12,FRESNO SURGICAL HOSPITAL,CA,6125 NORTH FRESNO STREET,FRESNO,96710,06019,"Fresno County, California",06019,"Fresno County, California",Non_Exact,"6125 N FRESNO ST, FRESNO, CA, 93710",0.8,operator_spot_check_census_context_same_fips,same_fips_street_number_name_confirmed_zip_mismatch_allowed,accepted,,False
393036,2024,assign_county,42079,"Luzerne County, Pennsylvania",0.84,"Accepted report-only institutional-anchor CMS provider same-city spot-check: same_fips_street_number_name_confirmed_zip_mismatch_allowed assigned Luzerne County, Pennsylvania (42079) for provider 393036 fiscal year 2024. Remaining same-city/external rows stay under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_non_exact_same_fips_spotcheck_confirmed,2026-06-04T15:44:21.447355+00:00,13,JOHN HEINZ INSTIT. OF REHAB MEDICINE,PA,150 MUNDY ST,WILKES-BARRE,18436,42079,"Luzerne County, Pennsylvania",42079,"Luzerne County, Pennsylvania",Non_Exact,"150 MUNDY ST, WILKES BARRE, PA, 18702",0.8,operator_spot_check_census_context_same_fips,same_fips_street_number_name_confirmed_zip_mismatch_allowed,accepted,,False
190116,2024,assign_county,22067,"Morehouse Parish, Louisiana",0.84,"Accepted report-only institutional-anchor CMS provider same-city spot-check: same_fips_street_number_name_confirmed_zip_mismatch_allowed assigned Morehouse Parish, Louisiana (22067) for provider 190116 fiscal year 2024. Remaining same-city/external rows stay under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_non_exact_same_fips_spotcheck_confirmed,2026-06-04T15:44:21.447355+00:00,14,MOREHOUSE GENERAL HOSPITAL,LA,323 W. WALNUT STREET,BASTROP,71121,22067,"Morehouse Parish, Louisiana",22067,"Morehouse Parish, Louisiana",Non_Exact,"323 W WALNUT AVE, BASTROP, LA, 71220",0.8,operator_spot_check_census_context_same_fips,same_fips_street_number_name_confirmed_zip_mismatch_allowed,accepted,,False
670136,2023,assign_county,48453,"Travis County, Texas",0.89,"Accepted report-only institutional-anchor CMS provider same-city spot-check: same_fips_route_or_service_road_zip_confirmed assigned Travis County, Texas (48453) for provider 670136 fiscal year 2023. Remaining same-city/external rows stay under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_non_exact_same_fips_spotcheck_confirmed,2026-06-04T15:44:21.447355+00:00,15,BSW MEDICAL CENTER - AUSTIN,TX,5245 W US 290,AUSTIN,78735,48453,"Travis County, Texas",48453,"Travis County, Texas",Non_Exact,"5245 W US HWY 290 SVC RD, AUSTIN, TX, 78735",0.88,operator_spot_check_census_context_same_fips,same_fips_route_or_service_road_zip_confirmed,accepted,,False
443303,2024,assign_county,47093,"Knox County, Tennessee",0.84,"Accepted report-only institutional-anchor CMS provider same-city spot-check: same_fips_street_number_name_confirmed_zip_mismatch_allowed assigned Knox County, Tennessee (47093) for provider 443303 fiscal year 2024. Remaining same-city/external rows stay under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_non_exact_same_fips_spotcheck_confirmed,2026-06-04T15:44:21.447355+00:00,16,EAST TENNESSEE CHILDRENS HOSPITAL,TN,2018 CLINCH AVENUE,KNOXVILLE,37901,47093,"Knox County, Tennessee",47093,"Knox County, Tennessee",Non_Exact,"2018 CLINCH AVE, KNOXVILLE, TN, 37916",0.8,operator_spot_check_census_context_same_fips,same_fips_street_number_name_confirmed_zip_mismatch_allowed,accepted,,False
400001,2024,assign_county,72127,San Juan Muno,0.84,Accepted report-only institutional-anchor CMS provider same-city spot-check: same_fips_street_number_name_confirmed_zip_mismatch_allowed assigned San Juan Muno (72127) for provider 400001 fiscal year 2024. Remaining same-city/external rows stay under review; no production promotion.,/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_non_exact_same_fips_spotcheck_confirmed,2026-06-04T15:44:21.447355+00:00,17,ASHFORD PRESBYTERIAN COMMUNITY CORP,PR,1451 ASHFORD AVE.,SAN JUAN,00902,72127,San Juan Muno,72127,San Juan Muno,Non_Exact,"1451 AVE ASHFORD, SAN JUAN, PR, 00907",0.8,operator_spot_check_census_context_same_fips,same_fips_street_number_name_confirmed_zip_mismatch_allowed,accepted,,False
400003,2023,assign_county,72113,Ponce Muno,0.84,Accepted report-only institutional-anchor CMS provider same-city spot-check: same_fips_street_number_name_confirmed_zip_mismatch_allowed assigned Ponce Muno (72113) for provider 400003 fiscal year 2023. Remaining same-city/external rows stay under review; no production promotion.,/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_non_exact_same_fips_spotcheck_confirmed,2026-06-04T15:44:21.447355+00:00,18,HOSPITAL DR. PILA,PR,2445 AVE. LAS AMERICAS,PONCE,00731,72113,Ponce Muno,72113,Ponce Muno,Non_Exact,"2445 AVE LAS AMERICAS, PONCE, PR, 00717",0.8,operator_spot_check_census_context_same_fips,same_fips_street_number_name_confirmed_zip_mismatch_allowed,accepted,,False
400134,2023,assign_county,72127,San Juan Muno,0.84,Accepted report-only institutional-anchor CMS provider same-city spot-check: same_fips_street_number_name_confirmed_zip_mismatch_allowed assigned San Juan Muno (72127) for provider 400134 fiscal year 2023. Remaining same-city/external rows stay under review; no production promotion.,/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_non_exact_same_fips_spotcheck_confirmed,2026-06-04T15:44:21.447355+00:00,19,SAN JORGE CHILDRENS & WOMEN HOSPITAL,PR,258 SAN JORGE STREET,SAN JUAN,00914,72127,San Juan Muno,72127,San Juan Muno,Non_Exact,"258 CLL SAN JORGE, SAN JUAN, PR, 00912",0.8,operator_spot_check_census_context_same_fips,same_fips_street_number_name_confirmed_zip_mismatch_allowed,accepted,,False
490009,2024,assign_county,51540,"Charlottesville city, Virginia",0.84,"Accepted report-only institutional-anchor CMS provider same-city spot-check: non_exact_independent_city_street_conflict_corrected assigned Charlottesville city, Virginia (51540) for provider 490009 fiscal year 2024. Remaining same-city/external rows stay under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_non_exact_independent_city_conflict_corrected,2026-06-04T15:44:21.447355+00:00,20,UNIVERSITY OF VIRGINIA MEDICAL CENTE,VA,855 WEST MAIN STREET,CHARLOTTESVILLE,22908,51003,"Albemarle County, Virginia",51540,"Charlottesville city, Virginia",Non_Exact,"855 W MAIN ST, CHARLOTTESVILLE, VA, 22903",0.8,manual_same_city_census_conflict_review,non_exact_independent_city_street_conflict_corrected,accepted,,False
