blend_rank,export_priority_rank,fips,county,state_abbr,census_region,qa_status,qa_flags,blend_score,preboom_classifier_score,classifier_rank_pct,investable_residual_model_score,residual_rank_pct,preboom_prior_momentum_rank_pct,emerging_market_depth_adequacy,wave3_net_support,overall_rank,total_population,short_thesis,structural_summary,support_narrative,brake_narrative
27,112,11001,"District of Columbia, District of Columbia",DC,South,advance_with_notes,moderate_market_depth,0.9772255834053587,0.714358003114456,0.9943820224719101,0.006464525616892525,0.8228176318063959,0.07453013609850939,0.50615503248079,0.1472035058887597,1986,702250.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 7.5%, inside the not-hot gate. Market-depth adequacy is moderate (0.506).",Wave 3 support is moderate; structural brakes are moderate. Supports: fragility/support balance is strong (0.692); scarcity/amenity balance is strong (0.682); optionality is moderate (0.666). Brakes: wetlands constraint is moderate (0.644).,Structural support: fragility/support balance is strong (0.692); scarcity/amenity balance is strong (0.682); optionality is moderate (0.666),Structural brakes: wetlands constraint is moderate (0.644)
28,62,01015,"Calhoun County, Alabama",AL,South,review,negative_wave3_net_support,0.9768798617113224,0.616311609162995,0.9792566983578219,0.04534830525240706,0.9554883318928262,0.2031756318859365,0.7405342075641788,-0.0169398584301371,183,116427.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 20.3%, inside the not-hot gate. Market-depth adequacy is high (0.741).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.681). Brakes: fragility pressure is moderate (0.668); constraint complexity is moderate (0.588).,Structural support: scarcity/amenity balance is strong (0.681),Structural brakes: fragility pressure is moderate (0.668); constraint complexity is moderate (0.588)
29,27,05093,"Mississippi County, Arkansas",AR,South,advance_with_notes,small_market; recent_population_decline,0.9763612791702679,0.6961402727020423,0.9904926534140017,0.012182049847828669,0.8491789109766638,0.03661697990926766,0.9367631999828756,0.1506809476102385,1201,38095.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 3.7%, inside the not-hot gate. Market-depth adequacy is high (0.937).",Wave 3 support is moderate; structural brakes are moderate. Supports: fragility/support balance is strong (0.734). Brakes: wetlands constraint is moderate (0.652); constraint pressure is moderate (0.558).,Structural support: fragility/support balance is strong (0.734),Structural brakes: wetlands constraint is moderate (0.652); constraint pressure is moderate (0.558)
30,25,16085,"Valley County, Idaho",ID,West,review,very_small_market; moderate_market_depth,0.9761884183232497,0.6124983441152013,0.9775280898876404,0.049422177009275696,0.9641313742437337,0.2018794556059624,0.6794799820169676,0.1553127567527407,2305,12777.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 20.2%, inside the not-hot gate. Market-depth adequacy is moderate (0.679).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.810); site-thesis support is moderate (0.664); optionality is moderate (0.652). Brakes: no major structural brakes flagged.,Structural support: scarcity/amenity balance is strong (0.810); site-thesis support is moderate (0.664); optionality is moderate (0.652),Structural brakes: no major structural brakes flagged
31,4,39087,"Lawrence County, Ohio",OH,Midwest,advance_with_notes,recent_population_decline,0.9745894554883319,0.5967492568782681,0.973638720829732,0.0652758443212466,0.9831460674157303,0.38107582631237846,0.9567717436245275,0.1704154739379719,275,55829.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 38.1%, inside the not-hot gate. Market-depth adequacy is high (0.957).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is strong (0.680); scarcity/amenity balance is strong (0.670); site-thesis support is moderate (0.631). Brakes: constraint pressure is moderate (0.565).,Structural support: optionality is strong (0.680); scarcity/amenity balance is strong (0.670); site-thesis support is moderate (0.631),Structural brakes: constraint pressure is moderate (0.565)
32,51,35055,"Taos County, New Mexico",NM,West,advance_with_notes,small_market,0.9745462402765773,0.8328614841618245,0.9991356957649092,-0.006082821151530723,0.7532411408815903,0.06772521062864549,0.9055046447451496,0.1942637597881878,3054,34482.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 6.8%, inside the not-hot gate. Market-depth adequacy is high (0.906).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is strong (0.677); site-thesis support is moderate (0.655); scarcity/amenity balance is moderate (0.634). Brakes: no major structural brakes flagged.,Structural support: optionality is strong (0.677); site-thesis support is moderate (0.655); scarcity/amenity balance is moderate (0.634),Structural brakes: no major structural brakes flagged
33,11,21089,"Greenup County, Kentucky",KY,South,advance_with_notes,small_market; labor_stress; already_high_in_live_ranking,0.974114088159032,0.6070180189424511,0.975799481417459,0.046580234866292335,0.9589455488331893,0.48152948801036943,0.8605672680066107,0.1234386357191276,37,35273.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 48.2%, inside the not-hot gate. Market-depth adequacy is high (0.861).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.616); fragility/support balance is moderate (0.612). Brakes: no major structural brakes flagged.,Structural support: optionality is moderate (0.616); fragility/support balance is moderate (0.612),Structural brakes: no major structural brakes flagged
34,99,21109,"Jackson County, Kentucky",KY,South,review,very_small_market; thin_market_depth; labor_stress,0.9734226447709594,0.6455512221839892,0.982713915298185,0.022259561776296184,0.8898012100259292,0.037589112119248216,0.3702874187087454,0.1584731157853984,2536,13358.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 3.8%, inside the not-hot gate. Market-depth adequacy is low (0.370).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is strong (0.691); scarcity/amenity balance is moderate (0.634); site-thesis support is moderate (0.628). Brakes: constraint pressure is moderate (0.603).,Structural support: optionality is strong (0.691); scarcity/amenity balance is moderate (0.634); site-thesis support is moderate (0.628),Structural brakes: constraint pressure is moderate (0.603)
35,90,42053,"Forest County, Pennsylvania",PA,Northeast,review,very_small_market; thin_market_depth,0.9727312013828868,0.6381319231651668,0.9818496110630942,0.022339688029939932,0.8906655142610199,0.018794556059624108,0.2623696867333124,0.2437399129600344,1088,6601.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 1.9%, inside the not-hot gate. Market-depth adequacy is low (0.262).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.719); fragility/support balance is strong (0.695); optionality is moderate (0.645). Brakes: constraint pressure is moderate (0.605).,Structural support: scarcity/amenity balance is strong (0.719); fragility/support balance is strong (0.695); optionality is moderate (0.645),Structural brakes: constraint pressure is moderate (0.605)
36,121,32033,"White Pine County, Nevada",NV,West,review,very_small_market; thin_market_depth,0.972428694900605,0.5990577870579509,0.9749351771823682,0.041958218377915586,0.9498703543647364,0.14484769928710303,0.36053740479435936,0.0038533957709189,2443,8534.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 14.5%, inside the not-hot gate. Market-depth adequacy is low (0.361).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.622); scarcity/amenity balance is moderate (0.621); site-thesis support is moderate (0.618). Brakes: constraint pressure is moderate (0.650); constraint complexity is moderate (0.558).,Structural support: optionality is moderate (0.622); scarcity/amenity balance is moderate (0.621); site-thesis support is moderate (0.618),Structural brakes: constraint pressure is moderate (0.650); constraint complexity is moderate (0.558)
