batch_id,provider_year_key,attempt_label,census_street,census_city,census_state,census_zip
100320__2024__0088,100320__2024,provider_original,325 CYPRESS PARKWAY,KISSIMMMEE,FL,34758
230095__2024__0089,230095__2024,provider_original,2463 S M-30,WEST BRANCH,MI,48661
230095__2024__0090,230095__2024,street_token_expanded,2463 SOUTH M-30,WEST BRANCH,MI,48661
170006__2024__0091,170006__2024,provider_original,1 MT CARMEL WAY,PITTSBURG,KS,66762
380071__2023__0092,380071__2023,provider_original,2700 SE STRATUS AVENUE,MCMINNVILLE,OR,97128
524042__2023__0093,524042__2023,provider_original,3169 DEMMING WAY,MIDDLETON,WI,53562
490143__2023__0094,490143__2023,provider_original,1500 COMMONWEALTH AVENUE,WILLIAMSBURG,VA,23185
300014__2024__0095,300014__2024,provider_original,11 WHITEHALL ROAD,ROCHESTER,NH,03867
241355__2023__0096,241355__2023,provider_original,705 EAST 18TH STREEET,GLENCOE,MN,55336
370113__2024__0097,370113__2024,provider_original,1001 EAST 18TH STREET,GROVE,OK,74344
010158__2023__0098,010158__2023,provider_original,15155 HIGHWAY 43,RUSSELLVILLE,AL,35653
230100__2024__0099,230100__2024,provider_original,200 HEMLOCK ST,TAWAS,MI,48764
230100__2024__0100,230100__2024,street_token_expanded,200 HEMLOCK STREET,TAWAS,MI,48764
144028__2024__0101,144028__2024,provider_original,1200 S FIRST AVE,HINES,IL,60141
144028__2024__0102,144028__2024,street_token_expanded,1200 SOUTH FIRST AVENUE,HINES,IL,60141
673079__2023__0103,673079__2023,provider_original,3600 SOUTH LOOP 340,ROBINSON,TX,76706
231325__2024__0104,231325__2024,provider_original,515 QUATER STREET,GLADWIN,MI,48624
390117__2024__0105,390117__2024,provider_original,10455 LINCOLN HIGHWAY,EVERETT,PA,15537
361330__2023__0106,361330__2023,provider_original,601 STATE ROUTE 664,LOGAN,OH,43138
451333__2024__0107,451333__2024,provider_original,610 N. SAINT PETER STREET,STANTON,TX,79782
451333__2024__0108,451333__2024,punctuation_normalized,610 N SAINT PETER STREET,STANTON,TX,79782
451333__2024__0109,451333__2024,street_token_expanded,610 NORTH SAINT PETER STREET,STANTON,TX,79782
110236__2024__0110,110236__2024,provider_original,101 GROSS CRESCENT CIRCLE,FT OGLETHORPE,GA,30742
370178__2024__0111,370178__2024,provider_original,100 HIGHWAY WEST,STILWELL,OK,74960
670131__2024__0112,670131__2024,provider_original,5330 OVERPASS ROAD SUITE 110,BUDA,TX,78610
670131__2024__0113,670131__2024,suite_stripped,5330 OVERPASS ROAD,BUDA,TX,78610
181331__2024__0114,181331__2024,provider_original,9879 ROUTE 122,MCDOWELL,KY,41647
341317__2023__0115,341317__2023,provider_original,1570 NC 8 & 89 HWY N,DANBURY,NC,27016
341317__2023__0116,341317__2023,ampersand_expanded,1570 NC 8 AND 89 HWY N,DANBURY,NC,27016
341317__2023__0117,341317__2023,street_token_expanded,1570 NC 8 & 89 HIGHWAY NORTH,DANBURY,NC,27016
511310__2024__0118,511310__2024,provider_original,TERRACE STREET,HINTON,WV,25951
390104__2024__0119,390104__2024,provider_original,4372 ROUTE 6,KANE,PA,16735
241301__2024__0120,241301__2024,provider_original,600 MAIN AVENUE S,BAUDETTE,MN,56623
241301__2024__0121,241301__2024,street_token_expanded,600 MAIN AVENUE SOUTH,BAUDETTE,MN,56623
371331__2023__0122,371331__2023,provider_original,610 WEST BYPASS,DRUMRIGHT,OK,74030
371303__2024__0123,371303__2024,provider_original,501 SOUTH LL MALES AVENUE,CHEYENNE,OK,73628
670285__2023__0124,670285__2023,provider_original,23330 HIGHWAY 59 N,KINGWOOD,TX,77339
670285__2023__0125,670285__2023,street_token_expanded,23330 HIGHWAY 59 NORTH,KINGWOOD,TX,77339
014006__2023__0126,014006__2023,provider_original,3001 SCENIC HWY,GADSEN,AL,35904
014006__2023__0127,014006__2023,street_token_expanded,3001 SCENIC HIGHWAY,GADSEN,AL,35904
194118__2023__0128,194118__2023,provider_original,2810 US HIGHWAY 71 S,LECOMPTE,LA,71346
194118__2023__0129,194118__2023,street_token_expanded,2810 US HIGHWAY 71 SOUTH,LECOMPTE,LA,71346
244016__2023__0130,244016__2023,provider_original,9400 ZANE AVE N,BROOKLYN PARK,MN,55443
244016__2023__0131,244016__2023,street_token_expanded,9400 ZANE AVENUE NORTH,BROOKLYN PARK,MN,55443
414003__2023__0132,414003__2023,provider_original,1011 VETERANS MEMORIAL PARKWAY,EAST PROVIDENCE,RI,02915
453317__2023__0133,453317__2023,provider_original,4100 W UNIVERSITY DR,PROSPER,TX,75078
453317__2023__0134,453317__2023,street_token_expanded,4100 WEST UNIVERSITY DRIVE,PROSPER,TX,75078
464007__2024__0135,464007__2024,provider_original,592 WEST 1350 SOUTH,WOOD CROSS,UT,84087
493300__2024__0136,493300__2024,provider_original,9407 CUMBERLAND RD,NEW KENT,VA,23124
493300__2024__0137,493300__2024,street_token_expanded,9407 CUMBERLAND ROAD,NEW KENT,VA,23124
514011__2023__0138,514011__2023,provider_original,3 HOSPITAL PLAZA,CLARKSBURG,WV,26301
400109__2023__0139,400109__2023,provider_original,SANTA CRUZ # 70,BAYAMON,PR,00959
400109__2023__0140,400109__2023,suite_stripped,SANTA CRUZ,BAYAMON,PR,00959
110215__2024__0141,110215__2024,provider_original,1255 HIGHWAY 54 WEST,FAYETTEVILLE,GA,30214
400118__2023__0142,400118__2023,provider_original,CARR. #2,MANATI,PR,00674
400118__2023__0143,400118__2023,suite_stripped,CARR.,MANATI,PR,00674
