queue_row_id,address_key,entity_name,primary_ticker,filing_date,form_type,filing_accession,business_street,business_city,business_state,business_zip,current_snapshot_business_street,current_snapshot_fips,current_snapshot_county_name,candidate_fips,candidate_county_name,county_closeout_status,county_closeout_source,county_closeout_confidence,county_closeout_evidence,census_matched_address,census_match_type,best_attempt_label,operator_packet_action,filing_document_cache_path
sec_pit_0315,"5424 DELTA AIR LINES, INC. DELAWARE 58-0218548 1030 DELTA BOULEVARD|ATLANTA|GA|30354-1989","DELTA AIR LINES, INC.",DAL,2026-04-08,10-Q,0000027904-26-000022,"5424 DELTA AIR LINES, INC. Delaware 58-0218548 1030 Delta Boulevard",Atlanta,GA,30354-1989,HARTSFIELD-JACKSON ATLANTA INTL AIRPORT 1030 DELTA BOULEVARD,13121,Fulton County,13121,"Fulton County, Georgia",county_closeout_candidate_census_matches_current_fips,census_geographies_addressbatch:parser_repair,0.9,Best Census filing-street match lands in the same county FIPS as the reviewed current snapshot.,"1030 DELTA BLVD, ATLANTA, GA, 30354",Exact,parser_repair,review_for_county_level_acceptance,data/raw/sec_edgar_hq/filing_documents/CIK0000027904/000002790426000022/dal-20260331.htm
sec_pit_0092,"700 MILAM STREET, SUITE 1900|HOUSTON|TX|77002","Cheniere Energy, Inc.",LNG,2016-02-19,10-K,0000003570-16-000284,"700 Milam Street, Suite 1900",Houston,TX,77002,845 TEXAS AVENUE SUITE 1250,48201,Harris County,48201,"Harris County, Texas",county_closeout_candidate_census_matches_current_fips,census_geographies_addressbatch:parsed_original,0.9,Best Census filing-street match lands in the same county FIPS as the reviewed current snapshot.,"700 MILAM ST, HOUSTON, TX, 77002",Exact,parsed_original,review_for_county_level_acceptance,data/raw/sec_edgar_hq/filing_documents/CIK0000003570/000000357016000284/cei2015form10-k.htm
sec_pit_0397,"919 MILAM, SUITE 2100|HOUSTON|TX|77002",GENESIS ENERGY LP,GEL,2012-05-04,10-Q,0001193125-12-211623,"919 Milam, Suite 2100",Houston,TX,77002,"811 LOUISIANA ST, SUITE 1200",48201,Harris County,48201,"Harris County, Texas",county_closeout_candidate_census_matches_current_fips,census_geographies_addressbatch:parsed_original,0.9,Best Census filing-street match lands in the same county FIPS as the reviewed current snapshot.,"919 MILAM ST, HOUSTON, TX, 77002",Non_Exact,parsed_original,review_for_county_level_acceptance,data/raw/sec_edgar_hq/filing_documents/CIK0001022321/000119312512211623/d327935d10q.htm
sec_pit_0188,"919 MILAM, SUITE 2100|HOUSTON|TX|77002",GENESIS ENERGY LP,GEL,2013-02-26,10-K,0001022321-13-000017,"919 Milam, Suite 2100",Houston,TX,77002,"811 LOUISIANA ST, SUITE 1200",48201,Harris County,48201,"Harris County, Texas",county_closeout_candidate_census_matches_current_fips,census_geographies_addressbatch:parsed_original,0.9,Best Census filing-street match lands in the same county FIPS as the reviewed current snapshot.,"919 MILAM ST, HOUSTON, TX, 77002",Non_Exact,parsed_original,review_for_county_level_acceptance,data/raw/sec_edgar_hq/filing_documents/CIK0001022321/000102232113000017/gel1231201210-k.htm
sec_pit_0124,"37591 DOMINION ENERGY GAS HOLDINGS, LLC 46-3639580 VIRGINIA 120 TREDEGAR STREET|RICHMOND|VA|23219","DOMINION ENERGY, INC",D,2018-02-27,10-K,0001193125-18-059578,"37591 DOMINION ENERGY GAS HOLDINGS, LLC 46-3639580 VIRGINIA 120 TREDEGAR STREET",RICHMOND,VA,23219,600 EAST CANAL STREET,51760,Richmond city,51760,"Richmond city, Virginia",county_closeout_candidate_census_matches_current_fips,census_geographies_addressbatch:parser_repair,0.9,Best Census filing-street match lands in the same county FIPS as the reviewed current snapshot.,"120 TREDEGAR ST, RICHMOND, VA, 23219",Exact,parser_repair,review_for_county_level_acceptance,data/raw/sec_edgar_hq/filing_documents/CIK0000715957/000119312518059578/d512216d10k.htm
sec_pit_0231,36743 APPLE INC. CALIFORNIA 94-2404110 1 INFINITE LOOP|CUPERTINO|CA|95014,Apple Inc.,AAPL,2015-07-22,10-Q,0001193125-15-259935,36743 Apple Inc. California 94-2404110 1 Infinite Loop,Cupertino,CA,95014,ONE APPLE PARK WAY,06085,Santa Clara County,06085,Santa Clara County,county_closeout_candidate_local_same_zip_single_open_fips,local_same_city_state_zip_single_open_fips,0.66,Open same-city/state/ZIP rows for this ZIP map to a single reviewed snapshot county; operator spot-check still required.,,,,review_for_county_level_acceptance,data/raw/sec_edgar_hq/filing_documents/CIK0000320193/000119312515259935/d927922d10q.htm
sec_pit_0032,36743 APPLE INC. CALIFORNIA 94-2404110 1 INFINITE LOOP|CUPERTINO|CA|95014,Apple Inc.,AAPL,2015-10-28,10-K,0001193125-15-356351,36743 Apple Inc. California 94-2404110 1 Infinite Loop,Cupertino,CA,95014,ONE APPLE PARK WAY,06085,Santa Clara County,06085,Santa Clara County,county_closeout_candidate_local_same_zip_single_open_fips,local_same_city_state_zip_single_open_fips,0.66,Open same-city/state/ZIP rows for this ZIP map to a single reviewed snapshot county; operator spot-check still required.,,,,review_for_county_level_acceptance,data/raw/sec_edgar_hq/filing_documents/CIK0000320193/000119312515356351/d17062d10k.htm
sec_pit_0237,8 TH FLOOR|LOS ANGELES|CA|90025,BARFRESH FOOD GROUP INC.,BRFH,2026-05-14,10-Q,0001493152-26-023106,8 th Floor,Los Angeles,CA,90025,"12100 WILSHIRE BOULEVARD, 8TH FLOOR,",06037,Los Angeles County,06037,"Los Angeles County, California",snapshot_only_support_current_fips_not_filing_street,census_geographies_addressbatch:snapshot_street_after_parser_repair,0.72,"Census supports the current snapshot street/county, but the filing street itself did not match; use as context only.","12100 WILSHIRE BLVD, LOS ANGELES, CA, 90025",Exact,snapshot_street_after_parser_repair,review_street_or_external_geocode,data/raw/sec_edgar_hq/filing_documents/CIK0001487197/000149315226023106/form10-q.htm
sec_pit_0036,"FOUR GATEHALL DRIVE, SUITE 110|PARSIPPANY|NJ|07054","B&G Foods, Inc.",BGS,2006-03-07,10-K,0001104659-06-014414,"Four Gatehall Drive, Suite 110",Parsippany,NJ,07054,8 SYLVAN WAY,34027,Morris County,34027,"Morris County, New Jersey",snapshot_only_support_current_fips_not_filing_street,census_geographies_addressbatch:snapshot_street_after_parser_repair,0.72,"Census supports the current snapshot street/county, but the filing street itself did not match; use as context only.","8 SYLVAN WAY, PARSIPPANY, NJ, 07054",Exact,snapshot_street_after_parser_repair,review_street_or_external_geocode,data/raw/sec_edgar_hq/filing_documents/CIK0001278027/000110465906014414/a06-5925_110k.htm
sec_pit_0037,"FOUR GATEHALL DRIVE, SUITE 110|PARSIPPANY|NJ|07054","B&G Foods, Inc.",BGS,2007-03-08,10-K,0001104659-07-017413,"Four Gatehall Drive, Suite 110",Parsippany,NJ,07054,8 SYLVAN WAY,34027,Morris County,34027,"Morris County, New Jersey",snapshot_only_support_current_fips_not_filing_street,census_geographies_addressbatch:snapshot_street_after_parser_repair,0.72,"Census supports the current snapshot street/county, but the filing street itself did not match; use as context only.","8 SYLVAN WAY, PARSIPPANY, NJ, 07054",Exact,snapshot_street_after_parser_repair,review_street_or_external_geocode,data/raw/sec_edgar_hq/filing_documents/CIK0001278027/000110465907017413/a07-5909_110k.htm
sec_pit_0300,804 CARNEGIE CENTER|PRINCETON|NJ|08540,"Clearway Energy, Inc.",CWEN,2016-11-04,10-Q,0001567683-16-000067,804 Carnegie Center,Princeton,NJ,08540,"300 CARNEGIE CENTER, SUITE 300",34021,Mercer County,34021,"Mercer County, New Jersey",snapshot_only_support_current_fips_not_filing_street,census_geographies_addressbatch:snapshot_street_after_parser_repair,0.72,"Census supports the current snapshot street/county, but the filing street itself did not match; use as context only.","300 CARNEGIE CENTER BLVD, PRINCETON, NJ, 08540",Non_Exact,snapshot_street_after_parser_repair,review_street_or_external_geocode,data/raw/sec_edgar_hq/filing_documents/CIK0001567683/000156768316000067/yieldinc09301610-q.htm
