boundary_name,boundary_n,boundary_window,boundary_margin,boundary_side,boundary_review_label,boundary_risk_points,primary_issue,review_action,fips,county_name,state,overall_rank,pred_avg_5yr,fiveyr_interval_width,fiveyr_model_disagreement_abs,confidence,confidence_score,source_confidence_score,source_confidence_band,n_runs_present,std_rank,rank_range,top25_presence_share,top50_presence_share,top100_presence_share,is_stable_top25,is_watchlist_boundary,risk_interval_uncertainty,risk_model_disagreement,risk_source_confidence,risk_run_history_churn,risk_confidence_label,operator_summary
top_50,50,12,-9,inside,stable,1,interval_uncertainty,eligible_for_operator_acceptance_only_no_auto_promotion,18167,"Vigo County, Indiana",IN,41,0.18010920197886127,0.5724711311536472,0.019734173737404603,HIGH,0.8726124093122077,77.06666666666668,high,12.0,4.522670168666455,15.0,0.0,0.9166666666666666,1.0,False,False,1,0,0,0,0,rank #41 at top_50 (inside); interval 0.572; model gap 0.020; source confidence 77.1; run std 4.5; run range 15.
top_50,50,12,-6,inside,stable,1,interval_uncertainty,eligible_for_operator_acceptance_only_no_auto_promotion,36007,"Broome County, New York",NY,44,0.20242049095785908,0.6016799082573652,0.021570272699123372,HIGH,0.8470189966518007,73.33333333333334,high,12.0,4.807664335582961,17.0,0.0,0.9166666666666666,1.0,False,False,1,0,0,0,0,rank #44 at top_50 (inside); interval 0.602; model gap 0.022; source confidence 73.3; run std 4.8; run range 17.
top_50,50,12,-2,inside,stable,1,interval_uncertainty,eligible_for_operator_acceptance_only_no_auto_promotion,39023,"Clark County, Ohio",OH,48,0.1792411676729308,0.5722969872576982,0.032761341171381075,HIGH,0.8530552445140999,77.06666666666668,high,12.0,4.10007390916384,15.0,0.0,0.6666666666666666,1.0,False,False,1,0,0,0,0,rank #48 at top_50 (inside); interval 0.572; model gap 0.033; source confidence 77.1; run std 4.1; run range 15.
top_50,50,12,-1,inside,stable,1,interval_uncertainty,eligible_for_operator_acceptance_only_no_auto_promotion,36017,"Chenango County, New York",NY,49,0.18760924101598575,0.596444926266193,0.013964417293220954,HIGH,0.8686528003787761,77.06666666666668,high,12.0,11.078234188139946,35.0,0.0,0.5,1.0,False,False,1,0,0,0,0,rank #49 at top_50 (inside); interval 0.596; model gap 0.014; source confidence 77.1; run std 11.1; run range 35.
top_50,50,12,1,outside,stable,1,interval_uncertainty,eligible_for_operator_acceptance_only_no_auto_promotion,18117,"Orange County, Indiana",IN,51,0.1843632539802587,0.5837160662477948,0.021612751125056673,HIGH,0.8768037818481442,77.06666666666668,high,12.0,6.080271126331209,17.0,0.0,0.0,1.0,False,False,1,0,0,0,0,rank #51 at top_50 (outside); interval 0.584; model gap 0.022; source confidence 77.1; run std 6.1; run range 17.
top_50,50,12,2,outside,stable,1,interval_uncertainty,eligible_for_operator_acceptance_only_no_auto_promotion,18163,"Vanderburgh County, Indiana",IN,52,0.159157650903197,0.5012103058118484,0.033389455050889305,HIGH,0.9105979581848775,77.06666666666668,high,12.0,10.66714014100681,33.0,0.0,0.0,1.0,False,False,1,0,0,0,0,rank #52 at top_50 (outside); interval 0.501; model gap 0.033; source confidence 77.1; run std 10.7; run range 33.
top_50,50,12,8,outside,stable,1,interval_uncertainty,eligible_for_operator_acceptance_only_no_auto_promotion,39113,"Montgomery County, Ohio",OH,58,0.17304073335771414,0.5392650868791906,0.06335395846852954,HIGH,0.8416509461790538,77.06666666666668,high,12.0,5.605732996160486,20.0,0.0,0.0833333333333333,1.0,False,False,1,0,0,0,0,rank #58 at top_50 (outside); interval 0.539; model gap 0.063; source confidence 77.1; run std 5.6; run range 20.
top_50,50,12,11,outside,stable,1,interval_uncertainty,eligible_for_operator_acceptance_only_no_auto_promotion,17021,"Christian County, Illinois",IL,61,0.1898800107185004,0.5572734685420874,0.04765078024942826,HIGH,0.7938721734550578,77.06666666666668,high,12.0,6.147184622888659,23.0,0.0,0.0,1.0,False,False,1,0,0,0,0,rank #61 at top_50 (outside); interval 0.557; model gap 0.048; source confidence 77.1; run std 6.1; run range 23.
top_50,50,12,12,outside,stable,1,interval_uncertainty,eligible_for_operator_acceptance_only_no_auto_promotion,18175,"Washington County, Indiana",IN,62,0.18661052040436693,0.605875124333987,0.016396197223242592,HIGH,0.8310415403525386,77.06666666666668,high,12.0,14.798392623606937,49.0,0.0,0.0,0.9166666666666666,False,True,1,0,0,0,0,rank #62 at top_50 (outside); interval 0.606; model gap 0.016; source confidence 77.1; run std 14.8; run range 49.
top_50,50,12,-7,inside,watch,3,interval_uncertainty,hold_for_model_source_review_before_policy_change,55141,"Wood County, Wisconsin",WI,43,0.18206482704949678,0.6307663642830672,0.07754834793949716,HIGH,0.8212980809052074,72.00000000000001,high,12.0,17.46338160178884,68.0,0.0,0.9166666666666666,0.9166666666666666,False,True,1,1,0,1,0,rank #43 at top_50 (inside); interval 0.631; model gap 0.078; source confidence 72.0; run std 17.5; run range 68.
top_50,50,12,0,inside,watch,3,interval_uncertainty,hold_for_model_source_review_before_policy_change,42097,"Northumberland County, Pennsylvania",PA,50,0.2135655996355375,0.6331665582871213,0.07383387777268091,MEDIUM,0.7762527979942454,77.06666666666668,high,12.0,6.666856057915883,27.0,0.0,0.5833333333333334,1.0,False,False,1,1,0,0,1,rank #50 at top_50 (inside); interval 0.633; model gap 0.074; source confidence 77.1; run std 6.7; run range 27.
top_50,50,12,3,outside,watch,3,interval_uncertainty,hold_for_model_source_review_before_policy_change,54049,"Marion County, West Virginia",WV,53,0.22408273445168747,0.7514620704403,0.017533981831860723,MEDIUM,0.7695751899196406,72.00000000000001,high,12.0,9.07001386521275,30.0,0.0,0.1666666666666666,1.0,False,False,2,0,0,0,1,rank #53 at top_50 (outside); interval 0.751; model gap 0.018; source confidence 72.0; run std 9.1; run range 30.
top_50,50,12,5,outside,watch,3,interval_uncertainty,hold_for_model_source_review_before_policy_change,18055,"Greene County, Indiana",IN,55,0.17769040101800165,0.5475427162583717,0.09400683659382258,MEDIUM,0.786862454547011,73.33333333333334,high,12.0,6.877169079312692,24.0,0.0,0.25,1.0,False,False,1,1,0,0,1,rank #55 at top_50 (outside); interval 0.548; model gap 0.094; source confidence 73.3; run std 6.9; run range 24.
top_50,50,12,-10,inside,watch,2,interval_uncertainty,hold_for_model_source_review_before_policy_change,51195,"Wise County, Virginia",VA,40,0.23497036562356194,0.7025709497972644,0.03455414293223946,HIGH,0.8453779870512828,72.00000000000001,high,12.0,15.57873453451755,47.0,0.0,0.8333333333333334,1.0,False,True,2,0,0,0,0,rank #40 at top_50 (inside); interval 0.703; model gap 0.035; source confidence 72.0; run std 15.6; run range 47.
top_50,50,12,-8,inside,watch,2,interval_uncertainty,hold_for_model_source_review_before_policy_change,39035,"Cuyahoga County, Ohio",OH,42,0.18527654064101395,0.5600980334375931,0.09106949622238503,HIGH,0.8100870157913758,77.06666666666668,high,12.0,11.649879697649112,48.0,0.0,0.9166666666666666,1.0,False,True,1,1,0,0,0,rank #42 at top_50 (inside); interval 0.560; model gap 0.091; source confidence 77.1; run std 11.6; run range 48.
top_50,50,12,-5,inside,watch,2,interval_uncertainty,hold_for_model_source_review_before_policy_change,39099,"Mahoning County, Ohio",OH,45,0.19492835452689167,0.619699976891664,0.06405888449218733,MEDIUM,0.7787157946187421,77.06666666666668,high,12.0,5.297226261035681,21.0,0.0,1.0,1.0,False,False,1,0,0,0,1,rank #45 at top_50 (inside); interval 0.620; model gap 0.064; source confidence 77.1; run std 5.3; run range 21.
top_50,50,12,-4,inside,watch,2,interval_uncertainty,hold_for_model_source_review_before_policy_change,39155,"Trumbull County, Ohio",OH,46,0.20099322080264626,0.6169487014902351,0.06436514168282614,MEDIUM,0.7816737408670228,77.06666666666668,high,12.0,4.294993561924126,17.0,0.0,0.9166666666666666,1.0,False,False,1,0,0,0,1,rank #46 at top_50 (inside); interval 0.617; model gap 0.064; source confidence 77.1; run std 4.3; run range 17.
top_50,50,12,9,outside,watch,2,interval_uncertainty,hold_for_model_source_review_before_policy_change,26025,"Calhoun County, Michigan",MI,59,0.18896722458480336,0.6090059276103343,0.08288391903397507,HIGH,0.7987092652483225,77.06666666666668,high,12.0,10.865569753151744,47.0,0.0,0.0833333333333333,1.0,False,True,1,1,0,0,0,rank #59 at top_50 (outside); interval 0.609; model gap 0.083; source confidence 77.1; run std 10.9; run range 47.
top_100,100,20,-8,inside,do_not_promote_boundary,6,source_confidence,block_boundary_promotion_until_uncertainty_reconciled,09013,"Tolland County, Connecticut",CT,92,0.0850852242188185,0.6268171979563594,0.05663626761764867,MEDIUM,0.7835536823495224,29.86666666666667,low,12.0,74.61837250403894,271.0,0.0,0.0,0.6666666666666666,False,True,1,0,2,2,1,rank #92 at top_100 (inside); interval 0.627; model gap 0.057; source confidence 29.9; run std 74.6; run range 271.
top_100,100,20,-14,inside,do_not_promote_boundary,5,run_history_churn,block_boundary_promotion_until_uncertainty_reconciled,26129,"Ogemaw County, Michigan",MI,86,0.17685986913529517,0.6431205242233683,0.09690505131656879,MEDIUM,0.7310996587223024,73.33333333333334,high,12.0,29.86776411674187,123.0,0.0,0.0,0.9166666666666666,False,True,1,1,0,2,1,rank #86 at top_100 (inside); interval 0.643; model gap 0.097; source confidence 73.3; run std 29.9; run range 123.
top_100,100,20,-4,inside,do_not_promote_boundary,5,model_disagreement,block_boundary_promotion_until_uncertainty_reconciled,42129,"Westmoreland County, Pennsylvania",PA,96,0.1927648337615025,0.5559476632847504,0.17582494207868804,MEDIUM,0.6918862060216707,77.06666666666668,high,12.0,25.292680699556083,96.0,0.0,0.1666666666666666,0.8333333333333334,False,True,1,2,0,1,1,rank #96 at top_100 (inside); interval 0.556; model gap 0.176; source confidence 77.1; run std 25.3; run range 96.
top_100,100,20,7,outside,do_not_promote_boundary,5,run_history_churn,block_boundary_promotion_until_uncertainty_reconciled,37051,"Cumberland County, North Carolina",NC,107,0.16870321544056566,0.5626447484573122,0.08944231842051797,MEDIUM,0.7830760576548624,77.06666666666668,high,12.0,24.848022907753496,103.0,0.0,0.0,0.1666666666666666,False,True,1,1,0,2,1,rank #107 at top_100 (outside); interval 0.563; model gap 0.089; source confidence 77.1; run std 24.8; run range 103.
top_100,100,20,8,outside,do_not_promote_boundary,5,model_disagreement,block_boundary_promotion_until_uncertainty_reconciled,39085,"Lake County, Ohio",OH,108,0.15175045535161474,0.6004709975538679,0.11792563558011004,MEDIUM,0.7586334642302782,77.06666666666668,high,12.0,18.73802647995878,54.0,0.0,0.0,0.25,False,True,1,2,0,1,1,rank #108 at top_100 (outside); interval 0.600; model gap 0.118; source confidence 77.1; run std 18.7; run range 54.
top_100,100,20,-18,inside,do_not_promote_boundary,4,interval_uncertainty,block_boundary_promotion_until_uncertainty_reconciled,54055,"Mercer County, West Virginia",WV,82,0.23474557038164612,0.8068573946990706,0.06546814419793145,HIGH,0.8016753479220806,72.00000000000001,high,12.0,35.7960341463417,95.0,0.0,0.0,0.75,False,True,2,0,0,2,0,rank #82 at top_100 (inside); interval 0.807; model gap 0.065; source confidence 72.0; run std 35.8; run range 95.
