external_manual_rank,provider_year_key,cms_provider_number,fiscal_year,provider_name,street_address,city,state_abbr,zip5,geocoder_query,external_manual_lane,review_priority,review_issue,provider_volume_score,reviewer_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_geocode_source,manual_geocode_match_type,manual_review_note,reviewed_by,reviewed_at
26,400016__2023,400016,2023,AUXILIO MUTUO HOSPITAL,PONCE DE LEON,SAN JUAN,PR,00919,"PONCE DE LEON, SAN JUAN, PR, 00919",same_city_unresolved_after_census_external_geocoder,medium,cms_county_blank,1.0,hold,,,,,,Held after residual Census retry: No Census geographies match from residual retry variants.,,
27,400044__2023,400044,2023,SAN LUCAS PONCE,917 AVE TITO CASTRO,PONCE,PR,00733,"917 AVE TITO CASTRO, PONCE, PR, 00733",same_city_unresolved_after_census_external_geocoder,medium,cms_county_blank,0.8038,hold,,,,,,Held after residual Census retry: No Census geographies match from residual retry variants.,,
28,400061__2024,400061,2024,UNIVERSITY DISCTRICT HOSPITAL,BO. MONACILLO,SAN JUAN,PR,00922,"BO. MONACILLO, SAN JUAN, PR, 00922",same_city_unresolved_after_census_external_geocoder,medium,county_text_unmatched,0.488,hold,,,,,,Held after residual Census retry: No Census geographies match from residual retry variants.,,
29,400127__2024,400127,2024,ADMIN DE SERVICIOS MEDICOS DE PR,CENTRO MEDICO,SAN JUAN,PR,00922,"CENTRO MEDICO, SAN JUAN, PR, 00922",same_city_unresolved_after_census_external_geocoder,medium,cms_county_blank,0.4013,hold,,,,,,Held after residual Census retry: No Census geographies match from residual retry variants.,,
30,400015__2024,400015,2024,SAN JUAN MUNICIPAL HOSPITAL,RIO PIEDRAS STATION,SAN JUAN,PR,00928,"RIO PIEDRAS STATION, SAN JUAN, PR, 00928",same_city_unresolved_after_census_external_geocoder,medium,cms_county_blank,0.3469,hold,,,,,,Held after residual Census retry: No Census geographies match from residual retry variants.,,
31,400098__2023,400098,2023,HOSPITAL SAN FRANCISCO,DE DIEGO AVE. #371,RIO PIEDRAS,PR,00923,"DE DIEGO AVE. #371, RIO PIEDRAS, PR, 00923",same_city_unresolved_after_census_external_geocoder,medium,county_text_unmatched,0.3325,hold,,,,,,Held after residual Census retry: No Census geographies match from residual retry variants.,,
32,400106__2023,400106,2023,HOSPITAL METROPOLITANO,21 #1785,RIO PIEDRAS,PR,00922,"21 #1785, RIO PIEDRAS, PR, 00922",same_city_unresolved_after_census_external_geocoder,medium,cms_county_blank,0.3158,hold,,,,,,Held after residual Census retry: No Census geographies match from residual retry variants.,,
33,400022__2023,400022,2023,HOSPITAL DAMAS,2213 PONCE BY PASS,PONCE,PR,00717,"2213 PONCE BY PASS, PONCE, PR, 00717",same_city_unresolved_after_census_external_geocoder,medium,cms_county_blank,0.3062,hold,,,,,,Held after residual Census retry: No Census geographies match from residual retry variants.,,
34,224045__2023,224045,2023,HOSPITAL FOR BEHAVIORAL MEDICINE,100 CENTURY DR,WORCESTER,MA,01606,"100 CENTURY DR, WORCESTER, MA, 01606",same_city_unresolved_after_census_external_geocoder,medium,county_text_unmatched,0.2871,hold,,,,,,Held after residual Census retry: No Census geographies match from residual retry variants.,,
35,400006__2023,400006,2023,DOCTORS CENTER HOSPITAL SAN JUAN I,1395 SAN RAFAEL ST. PDA. 20,SAN JUAN,PR,00910,"1395 SAN RAFAEL ST. PDA. 20, SAN JUAN, PR, 00910",same_city_unresolved_after_census_external_geocoder,medium,cms_county_blank,0.2632,hold,,,,,,Held after residual Census retry: No Census geographies match from residual retry variants.,,
36,450874__2023,450874,2023,BAYLOR SURGICAL HOSPITAL LAS COLINAS,400 W I-635 SUITE 101,IRVING,TX,75063,"400 W I-635 SUITE 101, IRVING, TX, 75063",same_city_unresolved_after_census_external_geocoder,medium,county_text_unmatched,0.1367,hold,,,,,,Held after residual Census retry: No Census geographies match from residual retry variants.,,
37,403301__2024,403301,2024,UNIVERSITY PEDIATRIC HOSPITAL,PO BOX 191079,SAN JUAN,PR,00910,"PO BOX 191079, SAN JUAN, PR, 00910",same_city_unresolved_after_census_external_geocoder,medium,cms_county_blank,0.0,hold,,,,,,Held after residual Census retry: No Census geographies match from residual retry variants.,,
38,050224__2023,050224,2023,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92658,"ONE HOAG DRIVE, NEWPORT BEACH, CA, 92658",external_geocoder_required_no_local_candidate,high,cms_county_blank,1.0,hold,,,,,,Held after residual Census retry: Residual Census retry produced context but not enough evidence for automatic acceptance.,,
39,050367__2023,050367,2023,NORTHBAY HOSPITAL GROUP,1200 B. GALE WILSON BLVD,FAIRFIELD,CA,94533,"1200 B. GALE WILSON BLVD, FAIRFIELD, CA, 94533",external_geocoder_required_no_local_candidate,high,cms_county_blank,1.0,hold,,,,,,Held after residual Census retry: No Census geographies match from residual retry variants.,,
40,390180__2023,390180,2023,CROZER CHESTER MEDICAL CENTER,ONE MEDICAL CENTER BLVD.,UPLAND,PA,19013,"ONE MEDICAL CENTER BLVD., UPLAND, PA, 19013",external_geocoder_required_no_local_candidate,high,cms_county_blank,1.0,hold,,,,,,Held after residual Census retry: Residual Census retry produced context but not enough evidence for automatic acceptance.,,
41,250141__2023,250141,2023,BAPTIST MEM HOSPITAL DESOTO,7601 SOUTHCREST,SOUTHAVEN,MS,38671,"7601 SOUTHCREST, SOUTHAVEN, MS, 38671",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.9196,hold,,,,,,Held after residual Census retry: No Census geographies match from residual retry variants.,,
42,220084__2023,220084,2023,EMERSON HOSPITAL,113 ORNC,CONCORD,MA,01742,"113 ORNC, CONCORD, MA, 01742",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.8047,hold,,,,,,Held after residual Census retry: No Census geographies match from residual retry variants.,,
43,150015__2023,150015,2023,FRANCISCAN HEALTH MICHIGAN CITY,3500 FRANCISCAN WAY,MICHIGAN CITY,IN,46360,"3500 FRANCISCAN WAY, MICHIGAN CITY, IN, 46360",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.7106,hold,,,,,,Held after residual Census retry: No Census geographies match from residual retry variants.,,
44,100189__2023,100189,2023,HCA FLORIDA NORTHWEST HOSPITAL,2801 NORTH STATE ROAD 7,MARGATE,FL,33063,"2801 NORTH STATE ROAD 7, MARGATE, FL, 33063",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.6914,hold,,,,,,Held after residual Census retry: Residual Census retry produced context but not enough evidence for automatic acceptance.,,
45,100269__2024,100269,2024,HCA FLORIDA PALMS WEST HOSPITAL,13001 STATE ROAD 80,LOXAHATCHEE,FL,33470,"13001 STATE ROAD 80, LOXAHATCHEE, FL, 33470",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.6869,hold,,,,,,Held after residual Census retry: No Census geographies match from residual retry variants.,,
46,140164__2024,140164,2024,MEMORIAL HOSPITAL OF CARBONDALE,405 W. JACKSON ST.,CARBONDALE,IL,62902,"405 W. JACKSON ST., CARBONDALE, IL, 62902",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.6817,hold,,,,,,Held after residual Census retry: Residual Census retry produced context but not enough evidence for automatic acceptance.,,
47,264010__2024,264010,2024,ST. LOUIS FORENSIC TREATMENT CENTER,500 ARSENAL STREET,ST.LOUIS,MO,63119,"500 ARSENAL STREET, ST.LOUIS, MO, 63119",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.61,hold,,,,,,Held after residual Census retry: Residual Census retry produced context but not enough evidence for automatic acceptance.,,
