spotcheck_priority,spotcheck_reason,recommended_action,spotcheck_acceptance_status,spotcheck_acceptance_evidence,spotcheck_accepted,normalized_business_street,normalized_snapshot_street,snapshot_token_coverage,queue_row_id,entity_name,primary_ticker,filing_date,form_type,filing_accession,business_street,business_city,business_state,business_zip,current_snapshot_business_street,current_snapshot_business_city,current_snapshot_business_state,current_snapshot_business_zip,current_snapshot_fips,current_snapshot_county_name,filing_document_cache_path,fips,county_name,geocode_confidence,address_key
high,same city/state/ZIP reuse but street number or street text differs,operator_spot_check_before_source_promotion,operator_review_required_street_mismatch_same_city_zip,street text or number differs enough that same city/state/ZIP is not enough for source-promotion review,False,700 MILAM ST STE 800,845 TEXAS AVE STE 1250,0.0,sec_pit_0090,"Cheniere Energy Partners, L.P.",CQP,2008-02-27,10-K,0001193125-08-039309,"700 Milam Street, Suite 800",Houston,TX,77002,845 TEXAS AVENUE SUITE 1250,HOUSTON,TX,77002,48201,Harris County,data/raw/sec_edgar_hq/filing_documents/CIK0001383650/000119312508039309/d10k.htm,48201,Harris County,1.0,"700 MILAM STREET, SUITE 800|HOUSTON|TX|77002"
high,same city/state/ZIP reuse but street number or street text differs,operator_spot_check_before_source_promotion,operator_review_required_street_mismatch_same_city_zip,street text or number differs enough that same city/state/ZIP is not enough for source-promotion review,False,700 MILAM ST STE 1900,845 TEXAS AVE STE 1250,0.0,sec_pit_0287,"Cheniere Energy, Inc.",LNG,2015-04-30,10-Q,0000003570-15-000084,"700 Milam Street, Suite 1900",Houston,TX,77002,845 TEXAS AVENUE SUITE 1250,HOUSTON,TX,77002,48201,Harris County,data/raw/sec_edgar_hq/filing_documents/CIK0000003570/000000357015000084/cei2015form10q1stqtr.htm,48201,Harris County,1.0,"700 MILAM STREET, SUITE 1900|HOUSTON|TX|77002"
high,same city/state/ZIP reuse but street number or street text differs,operator_spot_check_before_source_promotion,operator_review_required_street_mismatch_same_city_zip,street text or number differs enough that same city/state/ZIP is not enough for source-promotion review,False,700 MILAM ST STE 1900,845 TEXAS AVE STE 1250,0.0,sec_pit_0092,"Cheniere Energy, Inc.",LNG,2016-02-19,10-K,0000003570-16-000284,"700 Milam Street, Suite 1900",Houston,TX,77002,845 TEXAS AVENUE SUITE 1250,HOUSTON,TX,77002,48201,Harris County,data/raw/sec_edgar_hq/filing_documents/CIK0000003570/000000357016000284/cei2015form10-k.htm,48201,Harris County,1.0,"700 MILAM STREET, SUITE 1900|HOUSTON|TX|77002"
high,same city/state/ZIP reuse but street number or street text differs,operator_spot_check_before_source_promotion,accepted_snapshot_street_embedded_in_parse,snapshot street appears inside the parsed filing street text,True,263384 CIR ENERGY INC NEVADA 87 4125972 8211 E REGAL PL,8211 E REGAL PL,1.0,sec_pit_0290,"Circle Energy, Inc./NV",CRCE,2022-08-08,10-Q,0001096906-22-001804,"263384 CIRCLE ENERGY, INC. Nevada 87-4125972 8211 E Regal Place",Tulsa,OK,74133,8211 E REGAL PLACE,TULSA,OK,74133,40143,Tulsa County,data/raw/sec_edgar_hq/filing_documents/CIK0001911467/000109690622001804/crcl-20220630.htm,40143,Tulsa County,1.0,"263384 CIRCLE ENERGY, INC. NEVADA 87-4125972 8211 E REGAL PLACE|TULSA|OK|74133"
high,same city/state/ZIP reuse but street number or street text differs,operator_spot_check_before_source_promotion,accepted_snapshot_street_embedded_in_parse,snapshot street appears inside the parsed filing street text,True,263384 CIR ENERGY INC NEVADA 87 4125972 8211 E REGAL PL,8211 E REGAL PL,1.0,sec_pit_0097,"Circle Energy, Inc./NV",CRCE,2023-03-29,10-K,0001096906-23-000666,"263384 Circle Energy, Inc. Nevada 87-4125972 8211 E. Regal Place",Tulsa,OK,74133,8211 E REGAL PLACE,TULSA,OK,74133,40143,Tulsa County,data/raw/sec_edgar_hq/filing_documents/CIK0001911467/000109690623000666/crcl-20221231.htm,40143,Tulsa County,1.0,"263384 CIRCLE ENERGY, INC. NEVADA 87-4125972 8211 E. REGAL PLACE|TULSA|OK|74133"
high,same city/state/ZIP reuse but street number or street text differs,operator_spot_check_before_source_promotion,accepted_snapshot_street_embedded_in_parse,snapshot street appears inside the parsed filing street text,True,56587 CIR ENERGY INC NEVADA 87 4125972 8211 E REGAL PL,8211 E REGAL PL,1.0,sec_pit_0098,"Circle Energy, Inc./NV",CRCE,2026-03-24,10-K,0001096906-26-000364,"56587 Circle Energy, Inc. Nevada 87-4125972 8211 E. Regal Place",Tulsa,OK,74133,8211 E REGAL PLACE,TULSA,OK,74133,40143,Tulsa County,data/raw/sec_edgar_hq/filing_documents/CIK0001911467/000109690626000364/crcl-20251231_10k.htm,40143,Tulsa County,1.0,"56587 CIRCLE ENERGY, INC. NEVADA 87-4125972 8211 E. REGAL PLACE|TULSA|OK|74133"
high,same city/state/ZIP reuse but street number or street text differs,operator_spot_check_before_source_promotion,accepted_snapshot_street_embedded_in_parse,snapshot street appears inside the parsed filing street text,True,56587 CIR ENERGY INC NEVADA 87 4125972 8211 E REGAL PL,8211 E REGAL PL,1.0,sec_pit_0291,"Circle Energy, Inc./NV",CRCE,2026-05-11,10-Q,0001096906-26-000751,"56587 CIRCLE ENERGY, INC. Nevada 87-4125972 8211 E Regal Place",Tulsa,OK,74133,8211 E REGAL PLACE,TULSA,OK,74133,40143,Tulsa County,data/raw/sec_edgar_hq/filing_documents/CIK0001911467/000109690626000751/crcl-20260331_10q.htm,40143,Tulsa County,1.0,"56587 CIRCLE ENERGY, INC. NEVADA 87-4125972 8211 E REGAL PLACE|TULSA|OK|74133"
high,same city/state/ZIP reuse but street number or street text differs,operator_spot_check_before_source_promotion,operator_review_required_street_mismatch_same_city_zip,street text or number differs enough that same city/state/ZIP is not enough for source-promotion review,False,804 CARNEGIE CTR,300 CARNEGIE CTR STE 300,0.5,sec_pit_0300,"Clearway Energy, Inc.",CWEN,2016-11-04,10-Q,0001567683-16-000067,804 Carnegie Center,Princeton,NJ,08540,"300 CARNEGIE CENTER, SUITE 300",PRINCETON,NJ,08540,34021,Mercer County,data/raw/sec_edgar_hq/filing_documents/CIK0001567683/000156768316000067/yieldinc09301610-q.htm,34021,Mercer County,1.0,804 CARNEGIE CENTER|PRINCETON|NJ|08540
high,same city/state/ZIP reuse but street number or street text differs,operator_spot_check_before_source_promotion,operator_review_required_street_mismatch_same_city_zip,street text or number differs enough that same city/state/ZIP is not enough for source-promotion review,False,804 CARNEGIE CTR,300 CARNEGIE CTR STE 300,0.5,sec_pit_0103,"Clearway Energy, Inc.",CWEN,2017-02-28,10-K,0001567683-17-000010,804 Carnegie Center,Princeton,NJ,08540,"300 CARNEGIE CENTER, SUITE 300",PRINCETON,NJ,08540,34021,Mercer County,data/raw/sec_edgar_hq/filing_documents/CIK0001567683/000156768317000010/yieldinc201610-k.htm,34021,Mercer County,1.0,804 CARNEGIE CENTER|PRINCETON|NJ|08540
high,same city/state/ZIP reuse but street number or street text differs,operator_spot_check_before_source_promotion,operator_review_required_street_mismatch_same_city_zip,street text or number differs enough that same city/state/ZIP is not enough for source-promotion review,False,5424 DELTA AIR LINES INC DELAWARE 58 0218548 1030 DELTA BLVD,HARTSFIELD JACKSON ATLANTA INTL AIRPORT 1030 DELTA BLVD,0.375,sec_pit_0315,"DELTA AIR LINES, INC.",DAL,2026-04-08,10-Q,0000027904-26-000022,"5424 DELTA AIR LINES, INC. Delaware 58-0218548 1030 Delta Boulevard",Atlanta,GA,30354-1989,HARTSFIELD-JACKSON ATLANTA INTL AIRPORT 1030 DELTA BOULEVARD,ATLANTA,GA,30354-1989,13121,Fulton County,data/raw/sec_edgar_hq/filing_documents/CIK0000027904/000002790426000022/dal-20260331.htm,13121,Fulton County,1.0,"5424 DELTA AIR LINES, INC. DELAWARE 58-0218548 1030 DELTA BOULEVARD|ATLANTA|GA|30354-1989"
