triage_rank,provider_year_key,cms_provider_number,fiscal_year,provider_name,state_abbr,street_address,city,zip5,triage_priority,provider_volume_score,facility_id,facility_name,address,citytown,state,zip_code,countyparish,cms_hgi_fips,cms_hgi_candidate_fips,cms_hgi_county_name,cms_hgi_address_score,cms_hgi_address_checks,reviewer_decision,cms_hgi_review_issue,prior_osm_fips,prior_osm_county_name,prior_osm_confidence,prior_osm_candidate_issue,retry_candidate_fips,retry_candidate_county_name,retry_match_status,retry_match_type,retry_matched_address,retry_candidate_confidence,cms_hgi_query_url
11,230193__2023,230193,2023,MCLAREN LAPEER REGION,MI,1375 NORTH MAIN STREET,LAPEER,48436,P0,0.3289,230193,MCLAREN LAPEER REGION,1375 N MAIN ST,LAPEER,MI,48446,LAPEER,26087,26087,"Lapeer County, Michigan",0.7000,state_match; city_match; cms_zip_available; cms_street_available; cms_county_present,accept,Official CMS HGI Facility ID row provides county/parish and state-supported address evidence.,26087,"Lapeer County, Michigan",0.82,postcode_not_supported; confidence_below_0_90,26087,"Lapeer County, Michigan",Match,Non_Exact,"1375 N MAIN ST, LAPEER, MI, 48446",0.76,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=230193&limit=5
12,450587__2024,450587,2024,HENDRICK MEDICAL CENTER BROWNWOOD,TX,1501 BURNET DRIVE,BROWNWOOD,76804,P0,0.3149,450587,HENDRICK MEDICAL CENTER BROWNWOOD,1501 BURNET DR,BROWNWOOD,TX,76801,BROWN,48049,48049,"Brown County, Texas",0.8800,state_match; city_match; cms_zip_available; street_match; cms_county_present,accept,Official CMS HGI Facility ID row provides county/parish and state-supported address evidence.,,,,no_geocoder_result,48049,"Brown County, Texas",Match,Non_Exact,"1501 BURNEY DR, BROWNWOOD, TX, 76801",0.76,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=450587&limit=5
13,110128__2024,110128,2024,MEADOWS REGIONAL MEDICAL CENTER,GA,1 MEADOWS PARKWAY,VIDALIA,30474,P0,0.3148,110128,MEMORIAL HEALTH MEADOWS HOSPITAL,ONE MEADOWS PARKWAY,VIDALIA,GA,30474,TOOMBS,13279,13279,"Toombs County, Georgia",0.8200,state_match; city_match; zip_match; cms_street_available; cms_county_present,accept,Official CMS HGI Facility ID row provides county/parish and state-supported address evidence.,,,,no_geocoder_result,,,,,,,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=110128&limit=5
14,460013__2024,460013,2024,MOUNTAIN VIEW HOSPITAL,UT,1000 EAST 100 NORTH,PAYSON,84651,P0,0.2823,460013,MOUNTAIN VIEW HOSPITAL,1000 EAST 100 NORTH,PAYSON,UT,84651,UTAH,49049,49049,"Utah County, Utah",1.0000,state_match; city_match; zip_match; street_match; cms_county_present,accept,Official CMS HGI Facility ID row provides county/parish and state-supported address evidence.,49049,"Utah County, Utah",0.78,house_number_not_supported; confidence_below_0_90,49049,"Utah County, Utah",Match,Non_Exact,"1000 E 100 S, PAYSON, UT, 84651",0.86,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=460013&limit=5
15,190014__2023,190014,2023,OCHSNER ST. MARY,LA,1125 MARGUERITE STREET,MORGAN CITY,70308,P0,0.2491,190014,OCHSNER ST MARY,1125 MARGUERITE STREET,MORGAN CITY,LA,70380,ST. MARY,22101,22101,"St. Mary Parish, Louisiana",0.8800,state_match; city_match; cms_zip_available; street_match; cms_county_present,accept,Official CMS HGI Facility ID row provides county/parish and state-supported address evidence.,22101,"St. Mary Parish, Louisiana",0.78,postcode_not_supported; confidence_below_0_90,22101,"St. Mary Parish, Louisiana",Match,Non_Exact,"1125 MARGUERITE ST, MORGAN CITY, LA, 70380",0.76,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=190014&limit=5
16,170006__2024,170006,2024,VIA CHRISTI HOSPITAL PITTSBURG  INC.,KS,1 MT CARMEL WAY,PITTSBURG,66762,P0,0.2489,170006,"MERCY HOSPITAL PITTSBURG, INC",1 MT CARMEL WAY,PITTSBURG,KS,66762,CRAWFORD,20037,20037,"Crawford County, Kansas",1.0000,state_match; city_match; zip_match; street_match; cms_county_present,accept,Official CMS HGI Facility ID row provides county/parish and state-supported address evidence.,,,,no_geocoder_result,,,,,,,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=170006&limit=5
17,194114__2023,194114,2023,RIVER PLACE BEHAVIORAL HEALTH,LA,500 RUE DE SANTE,LAPLACE,70068,P0,0.2467,194114,RIVER PLACE BEHAVIORAL HEALTH,500 RUE DE SANTE,LAPLACE,LA,70068,ST. JOHN BAPTIST,22095,22095,"St. John the Baptist Parish, Louisiana",1.0000,state_match; city_match; zip_match; street_match; cms_county_present,accept,Official CMS HGI Facility ID row provides county/parish and state-supported address evidence.,22095,"St. John the Baptist Parish, Louisiana",0.88,confidence_below_0_90,,,,,,,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=194114&limit=5
18,241355__2023,241355,2023,GLENCOE REGIONAL HEALTH SERVICES,MN,705 EAST 18TH STREEET,GLENCOE,55336,P0,0.1927,241355,GLENCOE REGIONAL HEALTH,1805 HENNEPIN AVENUE NORTH,GLENCOE,MN,55336,MC LEOD,27085,27085,"McLeod County, Minnesota",0.8200,state_match; city_match; zip_match; cms_street_available; cms_county_present,accept,Official CMS HGI Facility ID row provides county/parish and state-supported address evidence.,27085,"McLeod County, Minnesota",0.78,house_number_not_supported; confidence_below_0_90,,,,,,,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=241355&limit=5
19,144028__2024,144028,2024,JOHN J MADDEN MENTAL HEALTH CENTER,IL,1200 S FIRST AVE,HINES,60141,P0,0.1212,144028,MADDEN MENTAL HEALTH CENTER,1200 S FIRST AVE,HINES,IL,60141,COOK,17031,17031,"Cook County, Illinois",1.0000,state_match; city_match; zip_match; street_match; cms_county_present,accept,Official CMS HGI Facility ID row provides county/parish and state-supported address evidence.,,,,no_geocoder_result,,,,,,,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=144028&limit=5
20,110236__2024,110236,2024,CHI MEMORIAL HOSPITAL - GEORGIA,GA,101 GROSS CRESCENT CIRCLE,FT OGLETHORPE,30742,P0,0.083,110236,CHI MEMORIAL HOSPITAL- GEORGIA,4710 BATTLEFIELD PARKWAY,RINGGOLD,GA,30736,CATOOSA,13047,13047,"Catoosa County, Georgia",0.5000,state_match; city_differs; cms_zip_available; cms_street_available; cms_county_present,accept,Official CMS HGI Facility ID row provides county/parish and state-supported address evidence.,13047,"Catoosa County, Georgia",0.42,house_number_not_supported; postcode_not_supported; city_not_supported; confidence_below_0_90,,,,,,,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=110236&limit=5
21,370178__2024,370178,2024,ADAIR COUNTY  HEALTH CENTER,OK,100 HIGHWAY WEST,STILWELL,74960,P0,0.0712,370178,MEMORIAL HOSPITAL,1401 WEST LOCUST,STILWELL,OK,74960,ADAIR,40001,40001,"Adair County, Oklahoma",0.8200,state_match; city_match; zip_match; cms_street_available; cms_county_present,accept,Official CMS HGI Facility ID row provides county/parish and state-supported address evidence.,,,,no_geocoder_result,,,,,,,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=370178&limit=5
22,511310__2024,511310,2024,SUMMERS COUNTY ARH,WV,TERRACE STREET,HINTON,25951,P0,0.0593,511310,SUMMERS COUNTY ARH HOSPITAL,115 SUMMERS HOSPITAL ROAD,HINTON,WV,25951,SUMMERS,54089,54089,"Summers County, West Virginia",0.8200,state_match; city_match; zip_match; cms_street_available; cms_county_present,accept,Official CMS HGI Facility ID row provides county/parish and state-supported address evidence.,54089,"Summers County, West Virginia",0.52,house_number_not_supported; postcode_not_supported; confidence_below_0_90,,,,,,,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=511310&limit=5
23,670285__2023,670285,2023,KINGWOOD EMERGENCY HOSPITAL,TX,23330 HIGHWAY 59 N,KINGWOOD,77339,P0,0.0469,670285,ELITE HOSPITAL KINGWOOD,23330 HIGHWAY 59 N,KINGWOOD,TX,77339,HARRIS,48201,48201,"Harris County, Texas",1.0000,state_match; city_match; zip_match; street_match; cms_county_present,accept,Official CMS HGI Facility ID row provides county/parish and state-supported address evidence.,,,,no_geocoder_result,,,,,,,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=670285&limit=5
24,453317__2023,453317,2023,COOK CHILDREN CARE,TX,4100 W UNIVERSITY DR,PROSPER,75078,P0,0.0,453317,COOK CHILDRENS MEDICAL CENTER PROSPER,4100 W UNIVERSITY DRIVE,PROSPER,TX,75078,COLLIN,48085,48085,"Collin County, Texas",1.0000,state_match; city_match; zip_match; street_match; cms_county_present,accept,Official CMS HGI Facility ID row provides county/parish and state-supported address evidence.,48085,"Collin County, Texas",0.52,house_number_not_supported; postcode_not_supported; confidence_below_0_90,,,,,,,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=453317&limit=5
25,464007__2024,464007,2024,BENCHMARK BEHAVIORAL HEALTH SYSTEM I,UT,592 WEST 1350 SOUTH,WOOD CROSS,84087,P0,0.0,464007,,,,,,,,,,0.0000,state_mismatch; city_differs; cms_zip_missing; cms_street_missing,hold,CMS HGI did not return a row for this Facility ID.,,,,no_geocoder_result,49011,"Davis County, Utah",Match,Non_Exact,"592 W 1350 S, WOODS CROSS, UT, 84010",0.76,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=464007&limit=5
