packet_rank,cms_provider_number,provider_name,state_abbr,street_address,city,zip5,raw_county,fiscal_year,review_issue,review_priority,suggested_fips,suggested_county_name,supporting_matched_provider_rows,candidate_method,candidate_confidence,review_recommendation,source_operator_review_status,beds_total,discharges_total,total_costs_usd,net_patient_revenue_usd,closeout_action,closeout_note,provider_volume_score,provider_row_id,census_candidate_fips,census_candidate_county_name,census_match_status,census_match_type,census_matched_address,census_candidate_score,census_attempt_label,census_candidate_confidence,conflicting_census_candidate_fips,census_candidate_status,census_candidate_note,production_model_rank_or_dashboard_change
84,113034,ENCOMPASS HEALTH REHABILITATION HOSP,GA,1165 SANDERS ROAD,CUMMING,30041,,2023,cms_county_blank,high,13117,"Forsyth County, Georgia",1,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,50.0,1308.0,21090923.0,27826292.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.1205,113034__2023,13117,"Forsyth County, Georgia",Match,Exact,"1165 SANDERS RD, CUMMING, GA, 30041",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
85,264034,SOUTHEAST BEHAVIORAL HOSPITAL,MO,639 SOUTH SILVER SPRING ROAD,CAPE GIRARDEAU,63703,,2024,cms_county_blank,high,29031,"Cape Girardeau County, Missouri",2,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,50.0,2096.0,14025196.0,15962394.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.1205,264034__2024,29031,"Cape Girardeau County, Missouri",Match,Exact,"639 S SILVER SPRINGS RD, CAPE GIRARDEAU, MO, 63703",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
86,393036,JOHN HEINZ INSTIT. OF REHAB MEDICINE,PA,150 MUNDY ST,WILKES-BARRE,18436,,2024,cms_county_blank,high,42079,"Luzerne County, Pennsylvania",1,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,47.0,506.0,20960531.0,20498362.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.1133,393036__2024,42079,"Luzerne County, Pennsylvania",Match,Non_Exact,"150 MUNDY ST, WILKES BARRE, PA, 18702",0.8,provider_original,0.84,,same_city_census_context_only,Census result is useful context but not strict enough for automatic same-city acceptance.,False
87,254012,OCEANS BEHAVIORAL HOSPITAL BILOXI,MS,180 DEBUYS ROAD,BILOXI,39531,,2023,cms_county_blank,high,28047,"Harrison County, Mississippi",1,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,45.0,1391.0,11581174.0,17223633.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.1084,254012__2023,28047,"Harrison County, Mississippi",Match,Exact,"180 DEBUYS RD, BILOXI, MS, 39531",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
88,234042,BEHAVIORAL CENTER OF MICHIGAN,MI,4050 EAST 12 MILE RD,WARREN,48092,,2023,cms_county_blank,high,26099,"Macomb County, Michigan",2,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,42.0,1278.0,12952386.0,13063978.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.1012,234042__2023,26099,"Macomb County, Michigan",Match,Non_Exact,"4050 12 MILE RD, WARREN, MI, 48092",0.88,provider_original,0.89,,same_city_census_context_only,Census result is useful context but not strict enough for automatic same-city acceptance.,False
89,170208,ADVENTHEALTH SOUTH OVERLAND PARK,KS,7820 W 165TH ST,OVERLAND PARK,66223,,2023,cms_county_blank,high,20091,"Johnson County, Kansas",6,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,41.0,1822.0,54872668.0,65089984.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.1009,170208__2023,20091,"Johnson County, Kansas",Match,Exact,"7820 W 165TH ST, OVERLAND PARK, KS, 66223",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
90,033039,COBALT REHAB HOSPITAL SURPRISE,AZ,13060 WEST BELL ROAD,SURPRISE,85378,,2023,cms_county_blank,high,04013,"Maricopa County, Arizona",1,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,40.0,879.0,16567939.0,20375247.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0964,033039__2023,04013,"Maricopa County, Arizona",Match,Exact,"13060 W BELL RD, SURPRISE, AZ, 85378",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
91,190116,MOREHOUSE GENERAL HOSPITAL,LA,323 W. WALNUT STREET,BASTROP,71121,,2024,cms_county_blank,high,22067,"Morehouse Parish, Louisiana",2,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,39.0,765.0,27985548.0,26156842.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.094,190116__2024,22067,"Morehouse Parish, Louisiana",Match,Non_Exact,"323 W WALNUT AVE, BASTROP, LA, 71220",0.8,provider_original,0.84,,same_city_census_context_only,Census result is useful context but not strict enough for automatic same-city acceptance.,False
92,063037,PAM SPEC. HOSPITAL OF WESTMINSTER,CO,6500 WEST 104TH AVE,WESTMINSTER,80020,,2023,cms_county_blank,high,08001,"Adams County, Colorado",1,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,36.0,918.0,19235590.0,23314175.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0867,063037__2023,08059,"Jefferson County, Colorado",Match,Exact,"6500 W 104TH AVE, WESTMINSTER, CO, 80020",0.97,provider_original,0.93,,same_city_census_conflicts_candidate,Street-level Census match conflicts with the same-city candidate county FIPS; keep in operator review.,False
93,364050,ACCESS HOSPITAL DAYTON,OH,2611 WAYNE AVE,DAYTON,45420,,2023,cms_county_blank,high,39113,"Montgomery County, Ohio",7,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,36.0,873.0,3829216.0,3476798.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0867,364050__2023,39113,"Montgomery County, Ohio",Match,Exact,"2611 WAYNE AVE, DAYTON, OH, 45420",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
94,524043,GRANITE HILLS HOSPITAL,WI,1706 S. 68TH STREET,MILWAUKEE,53214,,2024,cms_county_blank,high,55079,"Milwaukee County, Wisconsin",8,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,36.0,1625.0,16376182.0,14287877.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0867,524043__2024,55079,"Milwaukee County, Wisconsin",Match,Exact,"1706 S 68TH ST, MILWAUKEE, WI, 53214",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
95,670265,LEGENT ORTHOPEDIC HOSPITAL CARROLLTO,TX,1401 EAST TRINITY MILLS ROAD,CARROLLTON,75007,,2024,cms_county_blank,high,48121,"Denton County, Texas",2,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,22.0,629.0,45132104.0,36285783.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.083,670265__2024,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,False
96,230071,STRAITH HOSPITAL FOR SPECIAL SURGERY,MI,23901 LAHSER ROAD,SOUTHFIELD,48033,,2023,cms_county_blank,high,26125,"Oakland County, Michigan",2,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,34.0,282.0,15842820.0,14842729.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0819,230071__2023,26125,"Oakland County, Michigan",Match,Exact,"23901 LAHSER RD, SOUTHFIELD, MI, 48033",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
97,670136,BSW MEDICAL CENTER - AUSTIN,TX,5245 W US 290,AUSTIN,78735,,2023,cms_county_blank,high,48453,"Travis County, Texas",17,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,25.0,569.0,41001739.0,36156311.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0754,670136__2023,48453,"Travis County, Texas",Match,Non_Exact,"5245 W US HWY 290 SVC RD, AUSTIN, TX, 78735",0.88,provider_original,0.89,,same_city_census_context_only,Census result is useful context but not strict enough for automatic same-city acceptance.,False
98,154060,PARK CENTER  INC.,IN,1909 CAREW STREET,FORT WAYNE,46805,,2023,cms_county_blank,high,18003,"Allen County, Indiana",6,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,16.0,1525.0,10201994.0,34601899.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.074,154060__2023,18003,"Allen County, Indiana",Match,Exact,"1909 CAREW ST, FORT WAYNE, IN, 46805",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
99,054146,TELECARE HERITAGE PHF,CA,2633 EAST 27TH STREET,OAKLAND,94601,,2024,cms_county_blank,high,06001,"Alameda County, California",4,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,26.0,1165.0,12477718.0,12511108.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0627,054146__2024,06001,"Alameda County, California",Match,Exact,"2633 E 27TH ST, OAKLAND, CA, 94601",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
100,034037,TALAS HARBOR AT BULLHEAD CITY,AZ,831 LANDON DRIVE,BULLHEAD CITY,86429,,2024,cms_county_blank,high,04015,"Mohave County, Arizona",1,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,24.0,347.0,3825683.0,3152893.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0578,034037__2024,04015,"Mohave County, Arizona",Match,Exact,"831 LANDON DR, BULLHEAD CITY, AZ, 86429",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
101,370225,SUMMIT MEDICAL CENTER,OK,1800 S. RENAISSANCE BLVD,EDMOND,73013,,2023,cms_county_blank,high,40109,"Oklahoma County, Oklahoma",1,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,9.0,409.0,30485962.0,37518689.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0561,370225__2023,40109,"Oklahoma County, Oklahoma",Match,Non_Exact,"1800 RENNAISSANCE BLVD, EDMOND, OK, 73013",0.88,provider_original,0.89,,same_city_census_context_only,Census result is useful context but not strict enough for automatic same-city acceptance.,False
102,194089,GENESIS BEHAVIORAL HOSPITAL INC,LA,847 STEWART STREET,LAFAYETTE,70501,,2023,cms_county_blank,high,22055,"Lafayette Parish, Louisiana",9,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,18.0,654.0,7658074.0,8512324.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0434,194089__2023,22055,"Lafayette Parish, Louisiana",Match,Exact,"847 STEWART ST, LAFAYETTE, LA, 70501",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
103,054152,TELECARE SANTA CRUZ PHF,CA,2250 SOQUEL AVE SUITE 150,SANTA CRUZ,95062,,2024,cms_county_blank,high,06087,"Santa Cruz County, California",2,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,16.0,387.0,7633665.0,9825505.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0386,054152__2024,06087,"Santa Cruz County, California",Match,Exact,"2250 SOQUEL AVE, SANTA CRUZ, CA, 95062",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
104,193092,BETHESDA REHABILITATION HOSPITAL INC,LA,7414 SUMRALL DR,BATON ROUGE,70812,,2024,cms_county_blank,high,22033,"East Baton Rouge Parish, Louisiana",15,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,14.0,130.0,4715755.0,,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0337,193092__2024,22033,"East Baton Rouge Parish, Louisiana",Match,Exact,"7414 SUMRALL DR, BATON ROUGE, LA, 70812",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
105,330411,UNITY SPECIALITY HOSPITAL,NY,89 GENESEE STREET,ROCHESTER,14611,,2023,cms_county_blank,high,36055,"Monroe County, New York",5,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,,,10628131.0,5606390.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0195,330411__2023,36055,"Monroe County, New York",Match,Exact,"89 GENESEE ST, ROCHESTER, NY, 14611",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
106,491991,LYNN HOUSE OF POTOMAC VALLEY  INC.,VA,4400 W BRADDOCK ROAD,ALEXANDRIA,22304,,2023,cms_county_blank,high,51059,"Fairfax County, Virginia",3,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,4.0,11.0,2601258.0,1380668.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0096,491991__2023,51510,"Alexandria city, Virginia",Match,Exact,"4400 W BRADDOCK RD, ALEXANDRIA, VA, 22304",0.97,provider_original,0.93,,same_city_census_conflicts_candidate,Street-level Census match conflicts with the same-city candidate county FIPS; keep in operator review.,False
107,014014,BAYPOINTE BEHAVIORAL HEALTH,AL,5800 SOUTHLAND DRIVE,MOBILE,36693,,2023,cms_county_blank,high,01097,"Mobile County, Alabama",6,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,,,,,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0,014014__2023,01097,"Mobile County, Alabama",Match,Exact,"5800 SOUTHLAND DR, MOBILE, AL, 36693",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
108,014000,HILL CREST HOSPITAL,AL,6869 FIFTH AVNUE SOUTH,BIRMINGHAM,35212,,2024,cms_county_blank,high,01073,"Jefferson County, Alabama",11,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,,,,,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0,014000__2024,01073,"Jefferson County, Alabama",Match,Exact,"6869 5TH AVE S, BIRMINGHAM, AL, 35212",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
109,053308,HEALTHBRIDGE CHILDRENS ACUTE,CA,393 EAST TUSTIN STREET,ORANGE,92866,,2024,cms_county_blank,high,06059,"Orange County, California",3,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,,,,,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0,053308__2024,06059,"Orange County, California",Match,Non_Exact,"393 S TUSTIN ST, ORANGE, CA, 92866",0.88,provider_original,0.89,,same_city_census_context_only,Census result is useful context but not strict enough for automatic same-city acceptance.,False
110,054083,KEDREN COMMUNITY MENTAL HEALTH,CA,4211 SOUTH AVALON BLVD,LOS ANGELES,90011,,2024,cms_county_blank,high,06037,"Los Angeles County, California",22,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,,,,,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0,054083__2024,06037,"Los Angeles County, California",Match,Non_Exact,"4211 AVALON BLVD, LOS ANGELES, CA, 90011",0.88,provider_original,0.89,,same_city_census_context_only,Census result is useful context but not strict enough for automatic same-city acceptance.,False
111,051990,SUNLAND HOME FOUNDATION,CA,691 SPARTA DRIVE,ENCINITAS,92024,,2023,cms_county_blank,high,06073,"San Diego County, California",1,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,,,,,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0,051990__2023,06073,"San Diego County, California",Match,Exact,"691 SPARTA DR, ENCINITAS, CA, 92024",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
112,054149,WILLOW ROCK CENTER,CA,22050 FAIRMONT DRIVE,SAN LEANDRO,94578,,2024,cms_county_blank,high,06001,"Alameda County, California",2,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,,,,,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0,054149__2024,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,False
113,143302,SHRINERS HOSPITALS FOR CHILDREN,IL,2211 NORTH OAK PARK AVENUE,CHICAGO,60707,,2023,cms_county_blank,high,17031,"Cook County, Illinois",36,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,,,,,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0,143302__2023,17031,"Cook County, Illinois",Match,Exact,"2211 N OAK PARK AVE, CHICAGO, IL, 60707",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
114,174023,ST ANTHONYS SENIOR CARE HOSPITAL LLC,KS,2114 N 127 COURT E SUITE 100,WICHITA,67206,,2023,cms_county_blank,high,20173,"Sedgwick County, Kansas",7,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,,,,,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0,174023__2023,20173,"Sedgwick County, Kansas",Match,Exact,"2114 N 127TH CT E, WICHITA, KS, 67206",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
115,213300,MT WASHINGTON PEDIATRICS,MD,1708 WEST ROGERS AVENUE,BALTIMORE,21209,,2024,cms_county_blank,high,24005,"Baltimore County, Maryland",12,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,,,,,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0,213300__2024,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,False
116,264028,HAWTHORN CHILDRENS PSYCH. CTR.,MO,1901 PENNSYLVANIA AVE,ST LOUIS,63133,,2024,cms_county_blank,high,29189,"St. Louis County, Missouri",2,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,,,,,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0,264028__2024,29189,"St. Louis County, Missouri",Match,Exact,"1901 PENNSYLVANIA AVE, SAINT LOUIS, MO, 63133",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
117,264033,SPRINGFIELD BEHAVIORAL HOSPITAL,MO,2828 N NATIONAL AVE,SPRINGFIELD,65803,,2023,cms_county_blank,high,29077,"Greene County, Missouri",6,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,,,,,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0,264033__2023,29077,"Greene County, Missouri",Match,Exact,"2828 N NATIONAL AVE, SPRINGFIELD, MO, 65803",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
118,363304,CHILDRENS HOSPITAL FOR REHABILITATI,OH,2801 MARTIN LUTHER KING JR DR,CLEVELAND,44104,,2023,cms_county_blank,high,39035,"Cuyahoga County, Ohio",8,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,,,,,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0,363304__2023,39035,"Cuyahoga County, Ohio",Match,Exact,"2801 MARTIN LUTHER KING JR DR, CLEVELAND, OH, 44104",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
119,374012,BROOKHAVEN MEADOWBROOK HOSPITAL,OK,201 SOUTH GARNETT ROAD,TULSA,74128,,2023,cms_county_blank,high,40143,"Tulsa County, Oklahoma",17,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,,,,,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0,374012__2023,40143,"Tulsa County, Oklahoma",Match,Exact,"201 S GARNETT RD, TULSA, OK, 74128",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
120,373300,J D MCCARTY HANDICAPPED CTR,OK,2002 E. ROBINSON ST,NORMAN,73071,,2024,cms_county_blank,high,40027,"Cleveland County, Oklahoma",2,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,,,,,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0,373300__2024,40027,"Cleveland County, Oklahoma",Match,Exact,"2002 E ROBINSON ST, NORMAN, OK, 73071",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
121,393304,THE CHILDRENS HOME OF PITTSBURGH,PA,5618 KENTUCKY AVENUE,PITTSBURGH,15232,,2024,cms_county_blank,high,42003,"Allegheny County, Pennsylvania",13,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,,,,,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0,393304__2024,42003,"Allegheny County, Pennsylvania",Match,Exact,"5618 KENTUCKY AVE, PITTSBURGH, PA, 15232",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
122,424013,WILLIAM J MCCORD TREATMENT FACILITY,SC,910 COOK ROAD,ORANGEBURG,29118,,2024,cms_county_blank,high,45075,"Orangeburg County, South Carolina",1,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,,,,,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0,424013__2024,45075,"Orangeburg County, South Carolina",Match,Exact,"910 COOK RD, ORANGEBURG, SC, 29118",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
123,444033,COMPASS INTERVENTION CENTER,TN,7890 LOWRANCE,MEMPHIS,38125,,2024,cms_county_blank,high,47157,"Shelby County, Tennessee",13,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,,,,,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0,444033__2024,47157,"Shelby County, Tennessee",Match,Non_Exact,"7890 LOWRANCE RD, MEMPHIS, TN, 38125",0.88,provider_original,0.89,,same_city_census_context_only,Census result is useful context but not strict enough for automatic same-city acceptance.,False
124,443303,EAST TENNESSEE CHILDRENS HOSPITAL,TN,2018 CLINCH AVENUE,KNOXVILLE,37901,,2024,cms_county_blank,high,47093,"Knox County, Tennessee",9,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,,,,,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0,443303__2024,47093,"Knox County, Tennessee",Match,Non_Exact,"2018 CLINCH AVE, KNOXVILLE, TN, 37916",0.8,provider_original,0.84,,same_city_census_context_only,Census result is useful context but not strict enough for automatic same-city acceptance.,False
125,443302,ST JUDE CHILDRENS RESEARCH HOSPITAL,TN,262 DANNY THOMAS PLACE,MEMPHIS,38105,,2024,cms_county_blank,high,47157,"Shelby County, Tennessee",13,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,,,,,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0,443302__2024,47157,"Shelby County, Tennessee",Match,Non_Exact,"262 N DANNY THOMAS BLVD, MEMPHIS, TN, 38105",0.88,provider_original,0.89,,same_city_census_context_only,Census result is useful context but not strict enough for automatic same-city acceptance.,False
126,444023,WOODRIDGE OF WEST TENNESSEE  LLC,TN,49 OLD HICKORY BOULEVARD,JACKSON,38305,,2023,cms_county_blank,high,47113,"Madison County, Tennessee",4,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,,,,,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0,444023__2023,47113,"Madison County, Tennessee",Match,Exact,"49 OLD HICKORY BLVD, JACKSON, TN, 38305",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
