packet_rank,cms_provider_number,provider_name,state_abbr,street_address,city,zip5,raw_county,fiscal_year,review_issue,review_priority,suggested_fips,suggested_county_name,supporting_matched_provider_rows,candidate_method,candidate_confidence,review_recommendation,source_operator_review_status,beds_total,discharges_total,total_costs_usd,net_patient_revenue_usd,closeout_action,closeout_note,provider_volume_score,provider_row_id,census_candidate_fips,census_candidate_county_name,census_match_status,census_match_type,census_matched_address,census_candidate_score,census_attempt_label,census_candidate_confidence,conflicting_census_candidate_fips,census_candidate_status,census_candidate_note,production_model_rank_or_dashboard_change
11,320001,UNIVERSITY OF NEW MEXICO HOSPITAL,NM,2211 LOMAS BLVD NE,ALBUQUERQUE,87106,,2024,cms_county_blank,high,35001,"Bernalillo County, New Mexico",10,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,508.0,26108.0,1325816831.0,1518443523.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,1.0,320001__2024,35001,"Bernalillo County, New Mexico",Match,Exact,"2211 LOMAS BLVD NE, ALBUQUERQUE, NM, 87106",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
12,290041,SUMMERLIN HOSPITAL MEDICAL CENTER,NV,657 TOWN CENTER DRIVE,LAS VEGAS,89114,,2023,cms_county_blank,high,32003,"Clark County, Nevada",22,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,416.0,23214.0,362460482.0,443399845.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,1.0,290041__2023,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,False
13,330119,LENOX HILL HOSPITAL,NY,100 EAST 77TH STREET,NEW YORK,10075,,2023,cms_county_blank,high,36061,"New York County, New York",17,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,415.0,27881.0,1177648411.0,1438757085.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,1.0,330119__2023,36061,"New York County, New York",Match,Exact,"100 E 77TH ST, NEW YORK, NY, 10075",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
14,370093,OU MEDICAL CENTER,OK,1200 CHILDRENS AVE,OKLAHOMA CITY,73104,,2024,cms_county_blank,high,40109,"Oklahoma County, Oklahoma",24,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,842.0,42672.0,1731174557.0,1965959449.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,1.0,370093__2024,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,False
15,390067,UPMC PINNACLE HOSPITALS,PA,409 S. 2ND STREET,HARRISBURG,17101,,2024,cms_county_blank,high,42043,"Dauphin County, Pennsylvania",2,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,530.0,32826.0,1049924176.0,1425027814.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,1.0,390067__2024,42043,"Dauphin County, Pennsylvania",Match,Exact,"409 S 2ND ST, HARRISBURG, PA, 17101",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
16,450788,CORPUS CHRISTI MEDICAL CENTER,TX,7101 SOUTH PADRE ISLAND DRIVE,CORPUS CHRISTI,78412,,2024,cms_county_blank,high,48355,"Nueces County, Texas",5,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,372.0,23298.0,362631199.0,552165467.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,1.0,450788__2024,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,False
17,450431,ST. DAVIDS MEDICAL CENTER,TX,919 EAST 32ND STREET,AUSTIN,78765,,2023,cms_county_blank,high,48453,"Travis County, Texas",17,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,525.0,27564.0,649936765.0,922665538.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,1.0,450431__2023,48453,"Travis County, Texas",Match,Non_Exact,"919 E 32ND ST, AUSTIN, TX, 78705",0.8,provider_original,0.84,,same_city_census_context_only,Census result is useful context but not strict enough for automatic same-city acceptance.,False
18,490009,UNIVERSITY OF VIRGINIA MEDICAL CENTE,VA,855 WEST MAIN STREET,CHARLOTTESVILLE,22908,,2024,cms_county_blank,high,51003,"Albemarle County, Virginia",2,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,657.0,28755.0,2281690389.0,2665041032.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,1.0,490009__2024,51540,"Charlottesville city, Virginia",Match,Non_Exact,"855 W MAIN ST, CHARLOTTESVILLE, VA, 22903",0.8,provider_original,0.84,,same_city_census_conflicts_candidate,Street-level Census match conflicts with the same-city candidate county FIPS; keep in operator review.,False
19,030115,BANNER ESTRELLA MEDICAL CENTER,AZ,9201 WEST THOMAS ROAD,PHOENIX,85037,,2023,cms_county_blank,high,04013,"Maricopa County, Arizona",24,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,317.0,18265.0,354227291.0,445368593.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.886,030115__2023,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,False
20,190128,WOMANS HOSPITAL,LA,100 WOMANS WAY,BATON ROUGE,70817,,2023,cms_county_blank,high,22033,"East Baton Rouge Parish, Louisiana",15,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,228.0,17838.0,338718859.0,457979550.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.8653,190128__2023,22033,"East Baton Rouge Parish, Louisiana",Match,Exact,"100 WOMANS WAY, BATON ROUGE, LA, 70817",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
